Article ID,Article ID (DB id),Article name (rollup),Author name,Author country,Author faculty,Full university information,raw text,Author country 2,Author faculty 2,Full faculty information 2,Author faculty 3,Full faculty 3,Faculty 4,full infor 4
1,https://doi.org/10.1007/s42521-022-00050-0 (https://www.notion.so/https-doi-org-10-1007-s42521-022-00050-0-10c0ee199b1d81f89e17ff2ff3326b8b?pvs=21),DeepVaR: a framework for portfolio risk assessment leveraging probabilistic deep neural networks.,Georgios Fatouros,Greece,Department of Digital Systems,"Department of Digital Systems, University of Piraeus, Karaoli and Dimitriou 80, 18534 Piraeus,
Greece","Georgios Fatouros1,2  · Georgios Makridis1
· Dimitrios Kotios1
·
John Soldatos2
· Michael Filippakis1
· Dimosthenis Kyriazis1
Georgios Makridis
mailto:gmakridis@unipi.gr
Dimitrios Kotios
mailto:dimkotios@unipi.gr
John Soldatos
mailto:jsoldat@innov-acts.com
Michael Filippakis
mailto:mflip@unipi.gr
Dimosthenis Kyriazis
mailto:dimos@unipi.gr
1 Department of Digital Systems, University of Piraeus, Karaoli and Dimitriou 80, 18534 Piraeus,
Greece
2 Innov-Acts Ltd, Kolokotroni 6, 1101 Nicosia, Cyprus",Cyprus,Innov-Acts Ltd,,,,,
1,https://doi.org/10.1007/s42521-022-00050-0 (https://www.notion.so/https-doi-org-10-1007-s42521-022-00050-0-10c0ee199b1d81f89e17ff2ff3326b8b?pvs=21),DeepVaR: a framework for portfolio risk assessment leveraging probabilistic deep neural networks.,Georgios Makridis,Greece,Department of Digital Systems,"Department of Digital Systems, University of Piraeus, Karaoli and Dimitriou 80, 18534 Piraeus,
Greece","Georgios Fatouros1,2  · Georgios Makridis1
· Dimitrios Kotios1
·
John Soldatos2
· Michael Filippakis1
· Dimosthenis Kyriazis1
Georgios Makridis
mailto:gmakridis@unipi.gr
Dimitrios Kotios
mailto:dimkotios@unipi.gr
John Soldatos
mailto:jsoldat@innov-acts.com
Michael Filippakis
mailto:mflip@unipi.gr
Dimosthenis Kyriazis
mailto:dimos@unipi.gr
1 Department of Digital Systems, University of Piraeus, Karaoli and Dimitriou 80, 18534 Piraeus,
Greece
2 Innov-Acts Ltd, Kolokotroni 6, 1101 Nicosia, Cyprus",,,,,,,
1,https://doi.org/10.1007/s42521-022-00050-0 (https://www.notion.so/https-doi-org-10-1007-s42521-022-00050-0-10c0ee199b1d81f89e17ff2ff3326b8b?pvs=21),DeepVaR: a framework for portfolio risk assessment leveraging probabilistic deep neural networks.,Dimitrios Kotios,Greece,Department of Digital Systems,"Department of Digital Systems, University of Piraeus, Karaoli and Dimitriou 80, 18534 Piraeus,
Greece","Georgios Fatouros1,2  · Georgios Makridis1
 · Dimitrios Kotios1
 ·
John Soldatos2
 · Michael Filippakis1
 · Dimosthenis Kyriazis1
Georgios Makridis
gmakridis@unipi.gr
Dimitrios Kotios
dimkotios@unipi.gr
John Soldatos
jsoldat@innov-acts.com
Michael Filippakis
mflip@unipi.gr
Dimosthenis Kyriazis
dimos@unipi.gr
1 Department of Digital Systems, University of Piraeus, Karaoli and Dimitriou 80, 18534 Piraeus,
Greece
2 Innov-Acts Ltd, Kolokotroni 6, 1101 Nicosia, Cyprus",,,,,,,
1,https://doi.org/10.1007/s42521-022-00050-0 (https://www.notion.so/https-doi-org-10-1007-s42521-022-00050-0-10c0ee199b1d81f89e17ff2ff3326b8b?pvs=21),DeepVaR: a framework for portfolio risk assessment leveraging probabilistic deep neural networks.,John Soldatos,Cyprus,Innov-Acts Ltd,"Innov-Acts Ltd, Kolokotroni 6, 1101 Nicosia, Cyprus","Georgios Fatouros1,2  · Georgios Makridis1
 · Dimitrios Kotios1
 ·
John Soldatos2
 · Michael Filippakis1
 · Dimosthenis Kyriazis1
Georgios Makridis
gmakridis@unipi.gr
Dimitrios Kotios
dimkotios@unipi.gr
John Soldatos
jsoldat@innov-acts.com
Michael Filippakis
mflip@unipi.gr
Dimosthenis Kyriazis
dimos@unipi.gr
1 Department of Digital Systems, University of Piraeus, Karaoli and Dimitriou 80, 18534 Piraeus,
Greece
2 Innov-Acts Ltd, Kolokotroni 6, 1101 Nicosia, Cyprus",,,,,,,
1,https://doi.org/10.1007/s42521-022-00050-0 (https://www.notion.so/https-doi-org-10-1007-s42521-022-00050-0-10c0ee199b1d81f89e17ff2ff3326b8b?pvs=21),DeepVaR: a framework for portfolio risk assessment leveraging probabilistic deep neural networks.,Michael Filippakis,Greece,Department of Digital Systems,"Department of Digital Systems, University of Piraeus, Karaoli and Dimitriou 80, 18534 Piraeus,
Greece","Georgios Fatouros1,2  · Georgios Makridis1
 · Dimitrios Kotios1
 ·
John Soldatos2
 · Michael Filippakis1
 · Dimosthenis Kyriazis1
Georgios Makridis
gmakridis@unipi.gr
Dimitrios Kotios
dimkotios@unipi.gr
John Soldatos
jsoldat@innov-acts.com
Michael Filippakis
mflip@unipi.gr
Dimosthenis Kyriazis
dimos@unipi.gr
1 Department of Digital Systems, University of Piraeus, Karaoli and Dimitriou 80, 18534 Piraeus,
Greece
2 Innov-Acts Ltd, Kolokotroni 6, 1101 Nicosia, Cyprus",,,,,,,
1,https://doi.org/10.1007/s42521-022-00050-0 (https://www.notion.so/https-doi-org-10-1007-s42521-022-00050-0-10c0ee199b1d81f89e17ff2ff3326b8b?pvs=21),DeepVaR: a framework for portfolio risk assessment leveraging probabilistic deep neural networks.,Dimosthenis Kyriazis,Greece,Department of Digital Systems,"Department of Digital Systems, University of Piraeus, Karaoli and Dimitriou 80, 18534 Piraeus,
Greece","Georgios Fatouros1,2  · Georgios Makridis1
 · Dimitrios Kotios1
 ·
John Soldatos2
 · Michael Filippakis1
 · Dimosthenis Kyriazis1
Georgios Makridis
gmakridis@unipi.gr
Dimitrios Kotios
dimkotios@unipi.gr
John Soldatos
jsoldat@innov-acts.com
Michael Filippakis
mflip@unipi.gr
Dimosthenis Kyriazis
dimos@unipi.gr
1 Department of Digital Systems, University of Piraeus, Karaoli and Dimitriou 80, 18534 Piraeus,
Greece
2 Innov-Acts Ltd, Kolokotroni 6, 1101 Nicosia, Cyprus",,,,,,,
2,WOS:000701133500001 (https://www.notion.so/WOS-000701133500001-10c0ee199b1d8105b13bc4b034eb8576?pvs=21),Estimation with Uncertainty via Conditional Generative Adversarial Networks,Minhyeok Lee,Korea,School of Electrical & Electronics Engineering,"School of Electrical & Electronics Engineering, Chung-Ang University, Seoul 06974, Korea; mailto:mlee@cau.ac.kr","Minhyeok Lee 1 and Junhee Seok 2,* 1 School of Electrical & Electronics Engineering, Chung-Ang University, Seoul 06974, Korea; mailto:mlee@cau.ac.kr
2 School of Electrical Engineering, Korea University, Seoul 02841, Korea
* Correspondence: mailto:jseok14@korea.ac.kr",,,,,,,
2,WOS:000701133500001 (https://www.notion.so/WOS-000701133500001-10c0ee199b1d8105b13bc4b034eb8576?pvs=21),Estimation with Uncertainty via Conditional Generative Adversarial Networks,Junhee Seok,Korea,School of Electrical Engineering,"School of Electrical Engineering, Korea University, Seoul 02841, Korea
","Minhyeok Lee 1 and Junhee Seok 2,* 1 School of Electrical & Electronics Engineering, Chung-Ang University, Seoul 06974, Korea; mailto:mlee@cau.ac.kr
2 School of Electrical Engineering, Korea University, Seoul 02841, Korea
* Correspondence: mailto:jseok14@korea.ac.kr",,,,,,,
3,WOS:000619190000002 (https://www.notion.so/WOS-000619190000002-10c0ee199b1d8172970afa4a1d95bab4?pvs=21),ON A COMPUTATIONALLY SCALABLE SPARSE FORMULATION OF THE MULTIDIMENSIONAL AND NONSTATIONARY MAXIMUM ENTROPY PRINCIPLE,Illia Horenko,Switzerland," Faculty of Informatics","Università della Svizzera Italiana, Faculty of Informatics, Via G. Buffi 13, TI-6900 Lugano, Switzerland,","Illia Horenkoa,∗
, Ganna Marchenkoa
, Patrick Gagliardinib,c
,
aUniversità della Svizzera Italiana, Faculty of Informatics, Via G. Buffi 13, TI-6900 Lugano, Switzerland,
bFaculty of Economics, Università della Svizzera italiana Via G. Buffi 13, CH-6900 Lugano, Switzerland,
cSwiss Finance Institute, Walchestrasse 9, CH-8006 Zurich, Switzerland,
∗To whom correspondence should be addressed; E-mail: mailto:horenkoi@usi.ch",,,,,,,
3,WOS:000619190000002 (https://www.notion.so/WOS-000619190000002-10c0ee199b1d8172970afa4a1d95bab4?pvs=21),ON A COMPUTATIONALLY SCALABLE SPARSE FORMULATION OF THE MULTIDIMENSIONAL AND NONSTATIONARY MAXIMUM ENTROPY PRINCIPLE," Ganna Marchenko",Switzerland," Faculty of Informatics","Università della Svizzera Italiana, Faculty of Informatics, Via G. Buffi 13, TI-6900 Lugano, Switzerland,","Illia Horenkoa,∗
, Ganna Marchenkoa
, Patrick Gagliardinib,c
,
aUniversità della Svizzera Italiana, Faculty of Informatics, Via G. Buffi 13, TI-6900 Lugano, Switzerland,
bFaculty of Economics, Università della Svizzera italiana Via G. Buffi 13, CH-6900 Lugano, Switzerland,
cSwiss Finance Institute, Walchestrasse 9, CH-8006 Zurich, Switzerland,
∗To whom correspondence should be addressed; E-mail: mailto:horenkoi@usi.ch",,,,,,,
