ID,Title,Abstract,DOI,Keywords,Origin,Summary,Financial instrument?,Instrument,AI?,Probabilistic?
WOS:000779594700001,<i>DL-GuesS</i>: Deep Learning and Sentiment Analysis-Based Cryptocurrency Price Prediction,"Cryptocurrencies are peer-to-peer-based transaction systems where the data exchanges are secured using the secure hash algorithm (SHA)-256 and message digest (MD)-5 algorithms. The prices of cryptocurrencies are highly volatile and follow stochastic moments and have reached their unpredictable limits. They are commonly used for investment and have become a substitute for other types of investment like metals, estates, and the stock market. Their importance in the market raises the strict requirement for a sturdy forecasting model. However, cryptocurrency price prediction is quite challenging due to its dependency on other cryptocurrencies. Many researchers have used machine learning and deep learning models, and other market sentiment-based models to predict the price of cryptocurrencies. As all the cryptocurrencies belong to a specific class, we can infer that the increase in the price of one cryptocurrency can lead to a price change for other cryptocurrencies. Researchers had also utilized the sentiments from tweets and other social media platforms to increase the performance of their proposed system. Motivated by these, in this paper, we propose a hybrid and robust framework, DL-Gues, for cryptocurrency price prediction, that considers its interdependency on other cryptocurrencies and also on market sentiments. We have considered price prediction of Dash carried out using price history and tweets of Dash, Litecoin, and Bitcoin for various loss functions for validation. Further, to check the usability of DL-GuesS on other cryptocurrencies, we have also inferred results for price prediction of Bitcoin-Cash with the price history and tweets of Bitcoin-Cash, Litecoin, and Bitcoin.",10.1109/access.2022.3163305,Cryptography; Predictive models; Bitcoin; Hidden Markov models; Deep learning; Data models; Social networking (online); Cryptocurrency; complex systems; fusion of cryptocurrency; price prediction; VADER; sentiment analysis; deep learning; systems of systems,WOS,"DL-GuesS, a hybrid deep learning and sentiment analysis framework, is proposed for cryptocurrency price prediction by considering interdependencies among cryptocurrencies and market sentiments, outperforming state-of-the-art models.",✔️,Cryptocurrency,✔️,❌
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8408721,A Bayesian Learning Method for Financial Time-Series Analysis,"This article develops a sequential Bayesian learning method to estimate the parameters and recover the state variables for generalized autoregressive conditional heteroscedasticity (GARCH) models, which are commonly used in the financial time-series analysis. This simulation-based method combines particle-filtering technology with a Markov chain Monte Carlo algorithm when the model is non-linear and the number of observed variables is relatively sparse. We compare the performance of the sequential Bayesian learning approach with the numerical maximum likelihood estimation (NMLE) in estimating models based on S&P 500 return rates. Our research concludes that the sequential parameter learning approach performs more robustly and accurately than the NMLE, by taking into account the uncertainty of the model. We also carry out simulation studies to confirm that the sequential Bayesian learning method is extremely reliable for GARCH models.",10.1109/access.2018.2853998,Bayes methods;Biological system modeling;Numerical models;Autoregressive processes;Analytical models;Computational modeling;Maximum likelihood estimation;Sequential Bayesian learning;GARCH models;Markov chain Monte Carlo;particle filtering;sparse recovery,IEEE,"The paper introduces a sequential Bayesian learning method for parameter estimation in GARCH models for financial time series, demonstrating superior robustness and accuracy compared to maximum likelihood estimation.",✔️,"Financial time series (e.g., S&P 500)",❌,✔️
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9366736,A Bayesian Regularized Neural Network for Analyzing Bitcoin Trends,"Bitcoin is a decentralized digital currency without a central bank or single administrator sent from user to user on the peer-to-peer bitcoin blockchain network without intermediaries’ need. In this Bitcoin trend analysis work, initial attributes are considered from five sectors based on financial, social, token, network, and that count to thirteen attributes. The thirteen attributes considered are price, volume, market cap, a mean dollar invested age, social volume, social dominance, development activity, transaction volume, token age consumed, token velocity, token circulation, market value to realized value, and realized cap. We apply the attribute selection and trend analysis mapped with potential seven attributes: Price, Volume, Market Cap, Social Dominance, Development Activity, Market Value to Realized Value & Realized Cap. We have conducted Nonlinear Autoregressive with External Input analysis considering seven attributes. The work employed three training algorithms to train a neural network as Levenberg-Marquard, Bayesian Regularization, and Scaled Conjugate Gradient algorithm. The Error histogram and regression plots results indicate that the Bayesian Regularized Neural Network is showing good performance and thus provides a better forecast.",10.1109/access.2021.3063243,Bitcoin;Predictive models;Blockchain;Market research;Prediction algorithms;Neural networks;Bayes methods;Bitcoin;market cap;neural network;realized cap;nonlinear autoregressive with external input (narx);neural network (NN);Levenberg-Marquard (LM);Bayesian Regularization (BR);Scaled Conjugate Gradient (SCG);Bayesian Regularized Neural Network (BRNN),IEEE,A Bayesian Regularized Neural Network model is developed to analyze and forecast Bitcoin trends using various attributes across financial and social sectors.,✔️,Bitcoin,✔️,✔️
WOS:000889065800003,A Bayesian analysis based on multivariate stochastic volatility model: evidence from green stocks,"Green stocks are companies environmental protective and friendly. We test Green stock index in Shanghai Stock Exchange and China Securities Index as safe-havens for global investors. Suitable multivariate-SV model and Bayesian method are used to estimate the spillover effect between different assets among local and global markets. We choose multivariate volatility model because it can efficiently simulate the spillover effect by using machine learning MCMC method. The results show that the Environmental Protection Index (EPI) of Shanghai Stock Exchange (SSE) and China Securities Index (CSI) have no significant volatility spillover from Shanghai Stock index, S &P index, gold price, oil future prices of USA and China. During COVID-19 pandemic, we find Green stock index is a suitable safe-haven with low volatility spillover. Green stock indexes has a strongly one-way spillover to the crude oil future price. Environmentally friendly investor can use diversity green assets to provide a low risk investment portfolio in EPI stock market. The DCGCt-MSV model using machine learning of MCMC method is accurate and outperform others in Bayes parameter estimation.",10.1007/s10878-022-00936-0,Green stock; Spillover Effect; Machine learning; Markov chain Monte Carlo; Bayesian analysis,WOS,"Employs Bayesian multivariate stochastic volatility models to analyze and predict volatility in green stock indices, demonstrating their suitability as safe-haven assets with low volatility spillover.",✔️,Green Stock Indices,✔️,✔️
WOS:000863229400001,A Bayesian-based classification framework for financial time series trend prediction,"Financial time series have been extensively studied within the past decades; however, the advent of machine learning and deep neural networks opened new horizons to apply supercomputing techniques to extract more insights from the underlying patterns of price data. This paper presents a tri-state labeling approach to classify the underlying patterns in price data into up, down and no-action classes. The introduction of a no-action state in our novel approach alleviates the burden of denoising the dataset as a preprocessing task. The performance of our labeling algorithm is experimented with using machine learning and deep learning models. The framework is augmented by applying the Bayesian optimization technique for the selection of the best tuning values of the hyperparameters. The price trend prediction module generates the required trading signals. The results show that the average annualized Sharpe ratio as the trading performance metric is about 2.823, indicating the framework produces excellent cumulative returns.",10.1007/s11227-022-04834-4,Trend prediction; Machine learning; Deep learning; Financial time series; Feature engineering; Classification,WOS,"The paper presents a Bayesian-optimized classification framework for predicting financial time series trends, incorporating a novel no-action state and generating trading signals with uncertainty measures.",✔️,Financial time series,✔️,✔️
https://doi.org/10.1142/S1793005711001974,A COMPARATIVE STUDY OF BAYESIAN AND MAXIMUM LIKELIHOOD APPROACHES FOR ARCH MODELS WITH EVIDENCE FROM BRAZILIAN FINANCIAL SERIES,"The purpose of this study is to address the inference problem of the parameters of autoregressive conditional heteroscedasticity (ARCH) models. Specifically, we present a comparison of the two approaches - Bayesian and Maximum Likelihood (ML) for ARCH models, and the specific mathematical and algorithmic formulations of these approaches. In the ML, estimation we obtain confidence intervals by using the Bootstrap simulation technique. In the Bayesian estimation, we present a reparametrization of the model which allows us to apply prior normal densities to the transformed parameters. The posterior estimates are obtained using Monte Carlo Markov Chain (MCMC) methods. The methodology is exemplified by considering two Brazilian financial time series: the Bovespa Stock Index - IBovespa and the Telebras series. The order of each ARCH model is selected by using the Bayesian Information Criterion (BIC).",10.1142/s1793005711001974,,Proquest,"A study comparing Bayesian and Maximum Likelihood methods for ARCH models applied to Brazilian financial time series, specifically the Bovespa Stock Index and Telebras series.",❌,?,❌,❌
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8988162,A Fuzzy Interval Time-Series Energy and Financial Forecasting Model Using Network-Based Multiple Time-Frequency Spaces and the Induced-Ordered Weighted Averaging Aggregation Operation,"Forecasting time series is an emerging topic in operational research. Existing time-series models have limited prediction accuracy when faced with the characteristics of nonlinearity and nonstationarity in complex situations related to energy and finance. To enhance overall prediction capabilities and improve forecasting accuracy, in this article we propose a fuzzy interval time-series forecasting model on the basis of network-based multiple time-frequency spaces and the induced-ordered weighted averaging aggregation (IOWA) operation. Specifically, a time-series signal is decomposed into ensemble empirical modes and then reconstructed as various time-frequency spaces, which are transformed into visibility graphs. Then, forecasting intervals in different spaces can be collected after the local random walker link prediction model is adopted. Furthermore, a rule-based representation value function inspired by Yager's golden rule approach is defined, and an appropriate representation value is calculated. Finally, after IOWA is used to aggregate the forecasting outcomes in different time-frequency spaces, the final forecast value can be obtained from the fuzzy forecasting interval. Considering that energy issues are of widespread interest in nature and the social economy, two cases, based on a hydrological time series from the Biliuhe River in China and two well-known sets of financial time-series data, Taiwan Stock Exchange Capitalization Weighted Stock Index and Hang Seng Index, are studied to test the performance of the proposed approach in comparison with existing models. Our results show that the proposed approach can achieve better performance than well-developed models.",10.1109/tfuzz.2020.2972823,Time series analysis;Forecasting;Predictive models;Time-frequency analysis;Autoregressive processes;Prediction algorithms;Ensemble empirical mode decomposition (EEMD);financial time series;golden rule;hydrological time series;induced-ordered weighted averaging aggregation (IOWA);link prediction;network analysis;time-series forecasting,IEEE,"The paper presents a fuzzy interval time-series model leveraging multiple time-frequency spaces and aggregation operations for energy and financial forecasting, demonstrating superior performance on stock index data.",✔️,"Taiwan Stock Index, Hang Seng Index",❌,❌
10.48048/tis.2022.3045,A Gaussian Process Regression Model for Forecasting Stock Exchange of Thailand,"A stock price index measures the change in several share prices, which can describe the market and assist investors in deciding on a specific investment. Thus, foreseeing the stock price index benefits investors in creating a better investment strategy. However, forecasting the stock price index can be challenging due to its non-linearity, non-stationary and high uncertainty. Gaussian process regression (GPR) is an attractive and powerful approach for prediction, especially when the data fluctuates over time with fewer restrictions. Besides, the GPR gains advantages over other forecasting techniques as it can offer predictions with uncertainty to provide margin errors. In this study, we evaluate the use of GPR to predict the stock price of Thailand (SET). The SET data are divided into 2 datasets; the data in the year 2015-2020 and the data in the year 2020 due to the massive change during the COVID-19 pandemic. The prediction results from the GPR are then compared to the machine learning approaches, artificial neural network (ANN) and recurrent neural network (RNN) using evaluation scores; the root mean square error (RMSE), the mean absolute error (MAE), the mean absolute percentage error (MAPE) and the Nash-Sutcliffe efficiency (NSE). The results indicate that the GPR is superior to the ANN and RNN for both datasets as it provides a high prediction accuracy. Moreover, the results suggest that the GPR is less sensitive to the number of input lags in the model. Therefore, the GPR is more favorable for the prediction of SET than the ANN and RNN. © 2022, Walailak University. All rights reserved.",10.48048/tis.2022.3045,Artificial neural network; Gaussian process regression; Recurrent neural network; Stock price index,SCOPUS,"Applies Gaussian Process Regression to forecast the Stock Exchange of Thailand indices, comparing to ANN and RNN, finding GPR superior.",✔️,Stock Exchange of Thailand,✔️,✔️
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9448324,A Hybrid Approach of Bayesian Structural Time Series With LSTM to Identify the Influence of News Sentiment on Short-Term Forecasting of Stock Price,"In the financial sector, the stock market and its trends are highly volatile in nature. Recent studies have shown that news articles and social media analysis can have an immense impact on investors’ opinion toward financial markets. Thus, the purpose of this study is to explore the relationship between news sentiment and stock market movement using information from different news agencies, business magazines, and financial portals. This study offers an application of the Bayesian structural time (BST) series model that is more transparent and facilitates better handling of uncertainty than the autoregressive integrated moving average (ARIMA) model and the vector autoregression (VAR) method by using prior information about the structure of the model. One of the main pitfalls of this model is the presumption of linearity. The long short-term memory (LSTM) model is a nonlinear model that can capture various nonlinear structures present in the data set. We propose a hybrid model, which combines the LSTM model with the BST model along with the regression component that captures information from different news sources to identify market predictors. The proposed model detects unusual behavior or anomalous pattern of the stock price movement, which makes our model superior compared to the traditional methods. Our new hybrid model accumulates error with lower rates (3.5%) and shows a remarkable performance over some of the other existing hybrid models, such as AR-MLP, ARIMA-LSTM, and VAR-LSTM model.",10.1109/tcss.2021.3073964,Predictive models;Mathematical model;Data models;Market research;Stock markets;Time series analysis;Logic gates;Anomaly detection;state-space time series model;stock forecasting;text mining;unsupervised learning,IEEE,"The paper presents a hybrid Bayesian Structural Time Series and LSTM model to incorporate news sentiment data for short-term stock price forecasting, achieving lower error rates and improved performance.",✔️,Stocks,✔️,✔️
10.1155/2023/9963940,A Hybrid Model Using PCA and BP Neural Network for Time Series Prediction in Chinese Stock Market with TOPSIS Analysis,"The stock price changes rapidly and is highly nonlinear in the financial market. One of the common concerns of many scholars and investors is how to accurately predict the stock price and the trend of rising and falling in a short time. Machine learning and deep learning techniques have found their place in financial institutions thanks to the ability of time series data prediction with high precision. However, the prediction accuracy of these models is still far from satisfactory. Most existing studies use original, single prediction algorithms that cannot overcome inherent limitations. This study proposes a hybrid model using principal component analysis (PCA) and backpropagation (BP) neural networks. The historical records of China Merchants Bank are used for data collection from 2015 to 2021. PCA preprocesses the original data to reduce the dimensionality and is then adopted by the BP neural network to predict the stock closing price of China Merchants Bank. We compare and analyze the PCA-BP model with three training algorithms, and the results indicate that the Bayesian regularization algorithm performs best. Besides, we perform the stock prediction using a traditional exponential smoothing approach. The experiment results show that the predicted stock closing price is close to the actual value, and the mean absolute percentage error can reach 0.0130, which is more significant than the traditional approach. Furthermore, A TOPSIS approach is utilized to evaluate the robustness of the proposed model. Finally, we demonstrate the usability of the designed hybrid model by predicting the stock price of another selected stock.  © 2023 Lei Hang et al.",10.1155/2023/9963940,,SCOPUS,"The study proposes a hybrid PCA and BP neural network model for predicting stock prices in the Chinese market, demonstrating improved accuracy over traditional methods.",✔️,Stock,✔️,❌
