Assessed by,Status,ID,Double checked by,Title,Link,File,Exclude,Model input,Horizon,Frequency,What is predicted?,Type of asset,Specific asset,UQ quality assessment,Use of UQ,Assement cirterias of uncertainty,Is code disclosed?,GPT assessment,Starred,ID (tekst),Prob AI model name,Composed with ML models,Composed with traditional models,🎯 ML benchmark?,🎯 ML benchm. models,🎯 Trad. benchm.?,🎯 Trad. benchm. models,📐 ML benchm.?,📐 ML benchm. models,📐 Trad. benchm.?,📐 Trad. benchm. models,(OLD) Benchmarked against (Model),(OLD) Model relationships,(OLD) Name of model,Decision,ID okay?,Summary (AI),DOI,Exclusion comment,Last edited time,Last edited by,Model fields fixed?,Needs discussion,Old models as text,Composition double checked by,Included in last iteration,Model category,Parametric output distribution?,Reason for using prob AI,Adressed in 3.3.2,Type of volatility modeled,Passes UC and indep.?,Passes UC test?,Passes indep.?,Risk measures produced
Tord/Sivert,Assessed,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9448324 (https://www.notion.so/https-ieeexplore-ieee-org-stamp-stamp-jsp-arnumber-9448324-10c0ee199b1d818b8ad4e418e82bec87?pvs=21),,A Hybrid Approach of Bayesian Structural Time Series With LSTM to Identify the Influence of News Sentiment on Short-Term Forecasting of Stock Price,https://doi.org/10.1109/tcss.2021.3073964,A_Hybrid_Approach_of_Bayesian_Structural_Time_Series_With_LSTM_to_Identify_the_Influence_of_News_Sentiment_on_Short-Term_Forecasting_of_Stock_Price.pdf,Exclude,"History, Sentiment",1 day,N/A,Price,Stocks,Indian Stocks,No,"Epistemic (Model), Fed into other model",,No,https://chatgpt.com/share/66f690e5-3c78-8005-8055-e9d5b9846416,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9448324,Bayesian Structural Time Series (BSTS),Long Short Term Memory Neural Network (LSTM),,No,,Yes and outperforming,"ARIMA, Vector Autoregression (VAR)",No,,No,,,N/A,BST-LSTM,y,Yes,"The paper presents a hybrid Bayesian Structural Time Series and LSTM model to incorporate news sentiment data for short-term stock price forecasting, achieving lower error rates and improved performance.",10.1109/tcss.2021.3073964,BSTS not considered AI,"November 5, 2024 2:41 PM",Tord Johan Espe,Fixed,,BST-LSTM,,YES,,Yes,,No,,,,,
Tord/Sivert,Assessed,10.1016/j.techfore.2023.122719 (https://www.notion.so/10-1016-j-techfore-2023-122719-10c0ee199b1d81428ec8d7cac8cef249?pvs=21),,A granular machine learning framework for forecasting high-frequency financial market variables during the recent black swan event,https://doi.org/10.1016/j.techfore.2023.122719,1-s2.0-S0040162523004043-main.pdf,Exclude,"History, Technical",1 minute,N/A,Price,"Commodities, Cryptocurrency, Forex, Stock indices","Bitcoin (BTC), Crude oil, Dow Jones Industrial Average (Dow Jones), EUR/USD",No,Not interpreted,,No,,,10.1016/j.techfore.2023.122719,Bayesian Structural Time Series (BSTS),,,No,,Yes and outperforming,ARIMA,No,,No,,,,,y,Yes,Proposes a granular machine learning framework using Bayesian structural time series and wavelet transformation for forecasting high-frequency financial market variables during COVID-19.,10.1016/j.techfore.2023.122719,BSTS not considered AI,"November 5, 2024 2:42 PM",Tord Johan Espe,Fixed,,,,YES,,Yes,,No,,,,,
Tord/Sivert,Assessed,https://doi.org/10.1088/1742-6596/2287/1/012018 (https://www.notion.so/https-doi-org-10-1088-1742-6596-2287-1-012018-10c0ee199b1d81f5ae80dace5eaba2e8?pvs=21),,A Machine Learning Model for Healthcare Stocks Forecasting in the US Stock Market during COVID-19 Period,https://doi.org/10.1088/1742-6596/2287/1/012018,Jariyapan_2022_J._Phys.__Conf._Ser._2287_012018.pdf,Exclude,"History, Sentiment",1 month,N/A,Price,Stocks,Healthcare (American) sector Stocks,No,Not used,,,https://chatgpt.com/share/66faa386-27b4-8005-9252-9435324a4b38,,https://doi.org/10.1088/1742-6596/2287/1/012018,Bayesian Structural Time Series (BSTS),,,No,,No,,No,,No,,,Models are compared,"LDA, SVM, kNN",tja,Yes,"The paper develops machine learning models, including Bayesian structural time series and various classifiers, to forecast US healthcare stock prices during the COVID-19 period, aiding investment decisions.",10.1088/1742-6596/2287/1/012018,BSTS not considered AI,"November 5, 2024 2:42 PM",Tord Johan Espe,Fixed,,"LDA, kNN, SVM",,YES,,,No reason given,No,,,,,
Tord,Assessed,WOS:000737351200001 (https://www.notion.so/WOS-000737351200001-1200ee199b1d8125b653d0fd464a80cf?pvs=21),Tord Johan Espe,Predicting Volatility Index According to Technical Index and Economic Indicators on the Basis of Deep Learning Algorithm,https://doi.org/10.3390/su132414011,sustainability-13-14011-v2.pdf,,"History, Technical",1 day,N/A,Price with uncertainty,Volatility index,VIX,No,Not used,,No,https://chatgpt.com/share/671260d4-5378-8005-a9cc-b8fd6d9a4974,,WOS:000737351200001,Deep Convolutional Neural Network (DCNN),,Conditional Variance model,Yes and outperforming,Deep Convolutional Neural Network (DCNN),No,,No,,No,,,,,y,Yes,"A deep probabilistic convolutional neural network model is developed to predict the Volatility Index (VIX) using technical and economic indicators, achieving high prediction precision.",10.3390/su132414011,,"November 8, 2024 4:00 PM",Tord Johan Espe,Fixed,,,,,,Yes,Outperforms deterministic version,No,Index,,,,
Tord,Assessed,WOS:000873142500002 (https://www.notion.so/WOS-000873142500002-1130ee199b1d812486b0e6a7b4c09ea8?pvs=21),Tord Johan Espe,Encoded Value-at-Risk: A machine learning approach for portfolio risk measurement,https://doi.org/10.1016/j.matcom.2022.07.015,1-s2.0-S0378475422003172-main.pdf,,"History, Technical",1 day,N/A,Synthetic return samples,"Portfolio, Stocks","Frankfurt Stock Exchange(FSE) stocks portfolio, London Stock Exchange(LSE) stocks portfolio, S&P500 Equity Index",Yes,"Aleatoric (Volatility), Financial interpretation (e.g. VaR)","Christoffersen’s Test, Conditional Coverage Test, Independence Test, Kupiec’s test, Lopez' loss function, Unconditional Coverage Test",Yes,https://chatgpt.com/share/66fe817b-aed4-8005-8be6-485a82341e1d,⭐,WOS:000873142500002,Variational Auto-encoder (VAE),,,Irrelevant (point predictions are not used),,Irrelevant (point predictions are not used),,No,,Yes but unclear if outperforming,"CAViaR (Conditional Autoregressive Value at Risk by Regression Quantiles), GARCH","CAViaR, GARCH",N/A,Variational Auto-Encoder (VAE),y,Yes,"Encoded Value-at-Risk (Encoded VaR), a novel machine learning approach using Variational Auto-Encoders, is introduced for portfolio risk measurement, demonstrating competitive performance against established VaR methods.",10.1016/j.matcom.2022.07.015,,"November 8, 2024 8:06 PM",Tord Johan Espe,Fixed,,"GARCH, CAViaR, Variational Auto-Encoder (VAE)",,,VAE,No,,Yes,,Fail,Pass,Fail,VaR
Tord,Assessed,WOS:000463062900004 (https://www.notion.so/WOS-000463062900004-1130ee199b1d81a2a7a5d942f8bf3a5a?pvs=21),,Generative Bayesian neural network model for risk-neutral pricing of American index options,https://doi.org/10.1080/14697688.2018.1490807,Generative_Bayesian_neural_network_model_for_risk-neutral_pricing_of_American_index_options.pdf,,Technical,"1 day, 1 week",N/A,Price,Options,S&P 100 American put options,No,Not used,,No,https://chatgpt.com/share/66fe84e0-1d30-8005-88d3-2d593705154f,,WOS:000463062900004,Generative Bayesian Neural Network (Gen-BNN),,,Yes and outperforming,"Bayesian Neural Network (BNN), Gaussian Process Regression (GPR), Support Vector Regression (SVR)",Yes and outperforming,"Ad-Hoc Black-Scholes (AH-BS), Ad-Hoc Local Volatility (AH-LV), Barone-Adesi and Whaley (BW), CGMY (Carr-Geman-Madan-Yor Process), GARCH, Heston Model, Least Squares Monte Carlo (LSMC)",,,,,"Ad-Hoc Black-Scholes (AH-BS), Ad-Hoc Local Volatility (AH-LV), Barone-Adesi and Whaley (BW), Bayesian Neural Network (BNN), CGMY, GARCH, Gaussian Process (GP), Heston, Least Squares Monte Carlo (LSMC), SVR",N/A,Generative Bayesian Neural Network (Gen-BNN),y,Yes,"The paper presents a generative Bayesian neural network model incorporating risk-neutral pricing for American index options, outperforming classical financial option models in estimation and prediction accuracy.",10.1080/14697688.2018.1490807,,"November 4, 2024 1:12 PM",Tord Johan Espe,Fixed,,"GARCH, CGMY, Heston, Bayesian Neural Network (BNN), SVR, Gaussian Process (GP), Least Squares Monte Carlo (LSMC), Barone-Adesi and Whaley (BW), Ad-Hoc Black-Scholes (AH-BS), Ad-Hoc Local Volatility (AH-LV), Generative Bayesian Neural Network (Gen-BNN)",,,,,Predictive power in rare events through encoding knowledge in the prior,No,,,,,
Tord,Assessed,WOS:001097165900021 (https://www.notion.so/WOS-001097165900021-1130ee199b1d8199896ec71ce95d07aa?pvs=21),,Exploiting Data Science for Measuring the Performance of Technology Stocks,https://doi.org/10.32604/cmc.2023.036553,TSP_CMC_36553.pdf,,History,Not mentioned,N/A,Unclear,Stocks,"NYSE stock market | Taiwan Semiconductor Manufacturing Company Limited (TSM), NasdaqGS | Apple Inc. (AAPL), NasdaqGS | Broadcom Inc. (AVGO), NasdaqGS | Microsoft Corporation (MSFT), NasdaqGS | NVIDIA Corporation (NVDA)",No,Not used,,Yes,https://chatgpt.com/share/66ffd4c8-c770-8005-b2aa-5bf6e9d05eed,,WOS:001097165900021,Hidden Markov Model (HMM),,,Yes and outperforming,"AdaBoost, Bagging, Extra Trees (ET), Long Short Term Memory Neural Network (LSTM), Random forest (RF), XGBoost",Yes and outperforming,ARIMA,,,,,ARIMA,Models are compared,"AdaBoost, Bagging, Extra Trees (ET), HMM, LSTM, Random forest (RF), Voting, XGBoost",y,Yes,"Using Hidden Markov Models and ensemble machine learning techniques, this research measures the performance of technology stocks, identifying the Hidden Markov Model as the top-performing forecasting model.",10.32604/cmc.2023.036553,,"October 19, 2024 10:43 AM",Kristoffer Grude,Fixed,,"ARIMA, HMM, LSTM, Random forest (RF), XGBoost, Bagging, AdaBoost, Extra Trees (ET), Voting",,,,,,No,,,,,
Tord,Assessed,https://doi.org/10.1007/s42521-022-00050-0 (https://www.notion.so/https-doi-org-10-1007-s42521-022-00050-0-10c0ee199b1d81f89e17ff2ff3326b8b?pvs=21),,DeepVaR: a framework for portfolio risk assessment leveraging probabilistic deep neural networks.,https://doi.org/10.1007/s42521-022-00050-0,s42521-022-00050-0.pdf,,"History, Technical",1 day,Daily,"Full distribution of returns, VaR",Portfolio,"AUDUSD, EURUSD, GBPUSD, USDJPY",Yes,Financial interpretation (e.g. VaR),"Christoffersen’s Test, Conditional Coverage Test, Dynamic Quantile (DQ), Firm Loss, Quadratic Loss (QL), Smooth Loss, Unconditional Coverage Test",Yes,,STAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAR,https://doi.org/10.1007/s42521-022-00050-0,DeepAR (based on autoregressive RNN),,,Irrelevant (point predictions are not used),,Irrelevant (point predictions are not used),,Yes and outperforming,Bidirectional Generative Adversarial Networks (BiGAN),Yes and outperforming,"GARCH, HS VaR estimation, Monte Carlo (MC), RiskMetrics (RM)",,,RNN,y,Yes,"Introduces DeepVaR, a probabilistic deep neural network framework for assessing portfolio risk by estimating Value at Risk, demonstrating improved performance during economic turmoil.",10.1007/s42521-022-00050-0,,"November 8, 2024 9:09 PM",Tord Johan Espe,Fixed,,RNN,,,Prob RNN ext.,Both,,Yes,,Pass,Pass,Pass,VaR
Tord,Assessed,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9584890 (https://www.notion.so/https-ieeexplore-ieee-org-stamp-stamp-jsp-arnumber-9584890-10c0ee199b1d81868025c5bbdee93e17?pvs=21),,A Two-Factor Fuzzy-Fluctuation Time Series Forecasting Model for Stock Markets Based on a Probabilistic Linguistic Preference Relationship and Similarity Measure,https://doi.org/10.1109/access.2021.3122142,A_Two-Factor_Fuzzy-Fluctuation_Time_Series_Forecasting_Model_for_Stock_Markets_Based_on_a_Probabilistic_Linguistic_Preference_Relationship_and_Similarity_Measure.pdf,Exclude,"History, Technical",Short (milliseconds),N/A,Category,Stock indices,"Hang Seng Index (HSI), Taiwan Stock Exchange Capitalization Weighted Stock Index (TAIEX)",No,Fed into other model,,No,https://chatgpt.com/c/66f693f4-1838-8005-adf2-b8dd39145a7d,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9584890,Probabilistic Linguistic Preference Relationships (PLPR),,Two-factor fuzzy-fluctuation time series (FFTS),No,"Artificial Neural Networks (ANN), Fuzzy interval time series model using network (FITS-N), Neutrosophic soft sets for multi-attribute time series (NNS-MTS)",Yes and outperforming,"Autoregressive model (AR), Linear regression",,,,,,N/A,"FFTS, PLPR",y,Yes,"Proposes a hybrid model combining GARCH-type models with LSTM networks, using non-linear filtering to adjust volatility distributions, enhancing prediction accuracy for S&P 500 volatility.",10.1109/access.2021.3122142,Not AI/ML,"October 18, 2024 4:49 PM",Tord Johan Espe,Fixed,,"FFTS, PLPR",,,,,,No,,,,,
Tord,Assessed,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9919398 (https://www.notion.so/https-ieeexplore-ieee-org-stamp-stamp-jsp-arnumber-9919398-10c0ee199b1d81408633f9ba25aa93b8?pvs=21),,Enhancing Stock Portfolios for Enterprise Management and Investment in Energy Industry,https://doi.org/10.1109/tii.2022.3214518,Enhancing_Stock_Portfolios_for_Enterprise_Management_and_Investment_in_Energy_Industry.pdf,Exclude,"Environment, History, Technical","1 day, 1 month, 1 week",N/A,"Category, Price",Commodities,Crude oil,No,Fed into other model,,No,https://chatgpt.com/share/66f69cbe-8350-8005-85d4-d9dadf7f0610,,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9919398,Facebook Prophet (Bayesian nonlinear univariate generative model related to time series prediction),,,No,,No,,,,,,,,"Facebook Prophet, XGBoost",y,Yes,"Integrates GARCH models with LSTM networks using non-linear filtering to adjust volatility distributions, enhancing prediction accuracy for S&P 500 volatility.",10.1109/tii.2022.3214518,"Similar to BSTS, not AI/ML","November 6, 2024 4:03 PM",Tord Johan Espe,Fixed,,"Facebook Prophet, XGBoost",,,Other,No,,No,,,,,
