"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Stock Market Trend Prediction Using High-Order Information of Time Series","M. Wen; P. Li; L. Zhang; Y. Chen","School of Computer Science, Southwest Petroleum University, Chengdu, China; School of Computer Science, Southwest Petroleum University, Chengdu, China; Corporate IT Department, Nomura Securities Corporation, Tokyo, Japan; School of Computer Science, Southwest Petroleum University, Chengdu, China",IEEE Access,"15 Mar 2019","2019","7","","28299","28308","Given a financial time series such as  $S\&P~500$ , or any historical data in stock markets, how can we obtain useful information from recent transaction data to predict the ups and downs at the next moment? Recent work on this issue shows initial evidence that machine learning techniques are capable of identifying (non-linear) dependency in the stock market price sequences. However, due to the high volatility and non-stationary nature of the stock market, forecasting the trend of a financial time series remains a big challenge. In this paper, we introduced a new method to simplify noisy-filled financial temporal series via sequence reconstruction by leveraging motifs (frequent patterns), and then utilize a convolutional neural network to capture spatial structure of time series. The experimental results show the efficiency of our proposed method in feature learning and outperformance with 4%–7% accuracy improvement compared with the traditional signal process methods and frequency trading patterns modeling approach with deep learning in stock trend prediction.","2169-3536","","10.1109/ACCESS.2019.2901842","National Natural Science Foundation of China(grant numbers:61873218,61503312); Applied Basic Research Foundation of the Sichuan Provincial Science and Technology Department(grant numbers:18YYJC1147); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8653278","Trend prediction;convolutional neural network;financial time series;motif extraction","Time series analysis;Market research;Hidden Markov models;Predictive models;Feature extraction;Stock markets;Forecasting","","110","","40","OAPA","26 Feb 2019","","","IEEE","IEEE Journals"
"Combining Deep Learning and Multiresolution Analysis for Stock Market Forecasting","K. A. Althelaya; S. A. Mohammed; E. -S. M. El-Alfy","Information and Computer Science Department, King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia; Information and Computer Science Department, King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia; Information and Computer Science Department, King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia",IEEE Access,"22 Jan 2021","2021","9","","13099","13111","Due to its complexity, financial time-series forecasting is regarded as one of the most challenging problems. During the past two decades, nonlinear modeling techniques, such as artificial neural networks, were commonly employed to solve a variety of time-series problems. Recently, however, deep neural network has been found to be more efficient than those in many application domains. In this article, we propose a model based on deep neural networks that improves the forecasting of stock prices. We investigate the impact of combining deep learning techniques with multiresolution analysis to improve the forecasting accuracy. Our proposed model is based on an empirical wavelet transform which is shown to outperform traditional stationary wavelet transform in capturing price fluctuations at different time scales. The proposed model is demonstrated to be substantially more effective than other models when evaluated on the S&P500 stock index and Mackey-Glass time series.","2169-3536","","10.1109/ACCESS.2021.3051872","King Fahd University of Petroleum and Minerals (KFUPM), Saudi Arabia; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9324831","Deep learning;multiresolution analysis;long-short term memory;financial time series;forecasting","Predictive models;Forecasting;Multiresolution analysis;Hidden Markov models;Wavelet transforms;Data models;Transforms","","26","","54","CCBY","14 Jan 2021","","","IEEE","IEEE Journals"
"Accurate Stock Price Forecasting Based on Deep Learning and Hierarchical Frequency Decomposition","Y. Li; L. Chen; C. Sun; G. Liu; C. Chen; Y. Zhang","School of Economics and Management, Weifang University, Weifang, China; School of Economics and Management, Weifang University, Weifang, China; School of Economics and Management, Weifang University of Science and Technology, Weifang, China; School of Computer Engineering, Weifang University, Weifang, China; School of Computer Engineering, Weifang University, Weifang, China; School of Computer Engineering, Weifang University, Weifang, China",IEEE Access,"10 Apr 2024","2024","12","","49878","49894","The stock market is playing an increasingly important role in the global economy. Accurate stock price forecasting not only aids the government in predicting economic trends but also helps investors anticipate higher expected returns. Nevertheless, hurdles such as nonlinearity, complexity and high volatility make it a daunting task to predict stock prices. To address this issue, this study proposes a new hybrid model, termed Hierarchical Decomposition-based Forecasting Model (HDFM), to decompose and forecast stock prices in a hierarchical fashion. The model utilizes complete ensemble empirical mode decomposition with adaptive noise (CEEMDAN) for the initial decomposition of stock price time series. To enhance the predictive efficiency, sub-series with similar sample entropy from the decomposition were combined using the K-means clustering method. Through a thorough analysis, it was found that the first combined sub-series contained more high-frequency signals. Therefore, the first combined sub-series is subjected to a second decomposition with variational mode decomposition (VMD). Subsequently, the gated recurrent unit (GRU) model was used to individually predict each sub-series. The final results were obtained by merging the prediction outcomes. The proposed model was evaluated on three different stock markets. The experimental results show that the proposed model outperforms other forecasting methods across all stock indices. Moreover, ablation studies demonstrated the effectiveness of each component within the proposed model.","2169-3536","","10.1109/ACCESS.2024.3384430","Shandong Provincial Natural Science Foundation(grant numbers:ZR2021MF085,ZR2021MC044,ZR2022ME155,ZR2023QC116); Shandong Provincial Key Research Project on Financial Applications(grant numbers:2021-JRZZ-27); Doctoral Research Foundation of Weifang University(grant numbers:2022BS48); Doctoral Research Foundation of Weifang University of Science and Technology(grant numbers:2021RWBS10); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10488422","Stock price prediction;deep learning;hierarchical decomposition;clustering","Predictive models;Hidden Markov models;Forecasting;Autoregressive processes;Deep learning;Time series analysis;Adaptation models;Stock markets;Hierarchical systems;Clustering algorithms","","2","","42","CCBY","3 Apr 2024","","","IEEE","IEEE Journals"
"Ensemble Technique With Optimal Feature Selection for Saudi Stock Market Prediction: A Novel Hybrid Red Deer-Grey Algorithm","S. S. Alotaibi","Department of Information Systems, College of Computer and Information Systems, Umm Al-Qura University, Mecca, Saudi Arabia",IEEE Access,"3 May 2021","2021","9","","64929","64944","The forecast of the stock price attempts to assess the potential movement of the financial exchange's stock value. The exact estimation of the movement of share price would contribute more to investors' profit. This paper introduces a new stock market prediction model that includes three major phases: feature extraction, optimal feature selection, and prediction. Initially, statistical features like mean, standard deviation, variance, skewness, and kurtosis is extracted from the collected stock market data. Further, the indexed data collected are also computed concerning standard indicators like Average True Range (ATR), Exponential Moving Average (EMA), Relative Strength Index (RSI), and Rate of Change (ROC). To acquire best-predicted results, it is more crucial to select the most relevant features. Such that, the optimal features are selected from the extracted features (technical indicators based features, statistical features) by a new hybrid model referred to Red Deer Adopted Wolf Algorithm (RDAWA). Further, the selected features are subjected to the ensemble technique for predicting the stock movement. The ensemble technique involves the classifiers like Support Vector Machine (SVM), Random Forest1 (RF1), Random Forest2 (RF2), and optimized Neural Network (NN), respectively. The final predicted results are acquired from the Optimized Neural Network (NN). To make the precise prediction, the training of NN is carried out by the proposed RDAWA via fine-tuning the optimal weight. Finally, the performance of the proposed work is compared over other conventional models with respect to certain measures.","2169-3536","","10.1109/ACCESS.2021.3073507","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9405660","Saudi stock market prediction;close price;second order technical indicators;pre classifier","Hidden Markov models;Forecasting;Stock markets;Feature extraction;Support vector machines;Predictive models;Indexes","","28","","39","CCBY","15 Apr 2021","","","IEEE","IEEE Journals"
"A Bayesian Learning Method for Financial Time-Series Analysis","F. Zhu; W. Quan; Z. Zheng; S. Wan","College of Economics, Shenzhen University, Shenzhen, China; College of Economics, Shenzhen University, Shenzhen, China; College of Economics, Shenzhen University, Shenzhen, China; School of Information and Safety Engineering, Zhongnan University of Economics and Law, Wuhan, China",IEEE Access,"31 Jul 2018","2018","6","","38959","38966","This article develops a sequential Bayesian learning method to estimate the parameters and recover the state variables for generalized autoregressive conditional heteroscedasticity (GARCH) models, which are commonly used in the financial time-series analysis. This simulation-based method combines particle-filtering technology with a Markov chain Monte Carlo algorithm when the model is non-linear and the number of observed variables is relatively sparse. We compare the performance of the sequential Bayesian learning approach with the numerical maximum likelihood estimation (NMLE) in estimating models based on S&P 500 return rates. Our research concludes that the sequential parameter learning approach performs more robustly and accurately than the NMLE, by taking into account the uncertainty of the model. We also carry out simulation studies to confirm that the sequential Bayesian learning method is extremely reliable for GARCH models.","2169-3536","","10.1109/ACCESS.2018.2853998","National Natural Science Foundation of China(grant numbers:71601125,71471119); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8408721","Sequential Bayesian learning;GARCH models;Markov chain Monte Carlo;particle filtering;sparse recovery","Bayes methods;Biological system modeling;Numerical models;Autoregressive processes;Analytical models;Computational modeling;Maximum likelihood estimation","","13","","46","OAPA","9 Jul 2018","","","IEEE","IEEE Journals"
"Impact of Hyperparameter Tuning on Machine Learning Models in Stock Price Forecasting","K. E. Hoque; H. Aljamaan","Information and Computer Science Department, King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia; Information and Computer Science Department, King Fahd University of Petroleum and Minerals, Dhahran, Saudi Arabia",IEEE Access,"17 Dec 2021","2021","9","","163815","163830","Stock price forecasting has been reported as a challenging task in the scientific and financial communities due to stock prices’ nonlinear and dynamic nature. Machine learning models exhibit capabilities that allow them to handle nonlinear data and be candidate tools for stock price forecasting. In this study, an empirical evaluation of eight conventional machine learning models’ is conducted to forecast the stock price of eleven companies belonging to the Saudi Stock Exchange. Moreover, the optimal configuration of hyperparameters in each machine learning model is identified. Forecasting performance is evaluated by two well-known error metrics: Root Mean Square Error (RMSE) and Mean Absolute Percentage Error (MAPE). Wilcoxson effect size is utilized to determine the impact of hyperparameter tuning by comparing tuned and un-tuned machine learning models’ forecasting performance. Empirical results indicate there are varying impacts of hyperparameter tuning of machine learning models in forecasting stock price. After tuning the hyperparameters, Support Vector Regression outperforms other forecasting models with a significant statistical difference. In contrast, Kernel Ridge Regression shows noteworthy forecasting performance without hyperparameter tuning with respect to other un-tuned forecasting models. However, Decision Tree and K-Nearest Neighbour are the poor-performing models which demonstrate inadequate forecasting performance even after hyperparameter tuning.","2169-3536","","10.1109/ACCESS.2021.3134138","King Fahd University of Petroleum and Minerals (KFUPM), Saudi Arabia; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9643011","Gaussian process regression;hyperparameter tuning;kernel ridge regression;LASSO;machine learning;stock price forecasting;support vector regression;time series analysis","Forecasting;Predictive models;Machine learning;Tuning;Biological system modeling;Time series analysis;Training","","29","","71","CCBY","8 Dec 2021","","","IEEE","IEEE Journals"
"Detection of Stock Price Manipulation Using Kernel Based Principal Component Analysis and Multivariate Density Estimation","B. Rizvi; A. Belatreche; A. Bouridane; I. Watson","Department of Computer and Information Sciences, Northumbria University, Newcastle upon Tyne, U.K; Department of Computer and Information Sciences, Northumbria University, Newcastle upon Tyne, U.K; Department of Computer and Information Sciences, Northumbria University, Newcastle upon Tyne, U.K; Department of Computer and Information Sciences, Northumbria University, Newcastle upon Tyne, U.K",IEEE Access,"3 Aug 2020","2020","8","","135989","136003","Stock price manipulation uses illegitimate means to artificially influence market prices of several stocks. It causes massive losses and undermines investors' confidence and the integrity of the stock market. Several existing research works focused on detecting a specific manipulation scheme using supervised learning but lacks the adaptive capability to capture different manipulative strategies. This begets the assumption of model parameter values specific to the underlying manipulation scheme. In addition, supervised learning requires the use of labelled data which is difficult to acquire due to confidentiality and the proprietary nature of trading data. The proposed research establishes a detection model based on unsupervised learning using Kernel Principal Component Analysis (KPCA) and applied increased variance of selected latent features in higher dimensions. A proposed Multidimensional Kernel Density Estimation (MKDE) clustering is then applied upon the selected components to identify abnormal patterns of manipulation in data. This research has an advantage over the existing methods in overcoming the ambiguity of assuming values of several parameters, reducing the high dimensions obtained from conventional KPCA and thereby reducing computational complexity. The robustness of the detection model has also been evaluated when two or more manipulative activities occur within a short duration of each other and by varying the window length of the dataset fed to the model. Validation on multiple datasets and a comprehensive assessment of the model performance has been conducted without providing any prior information about the location of the manipulation. The results show a significant performance enhancement in terms of the F-measure values and a significant reduction in false alarm rate (FAR) has been achieved.","2169-3536","","10.1109/ACCESS.2020.3011590","Research and Development Fund, Department of Computer and Information Sciences, Northumbria University, Newcastle upon Tyne, U.K; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9146609","Market abuse;stock price manipulation;anomaly detection;kernel principal component analyses;multi-dimensional kernel density estimate clustering","Stock markets;Kernel;Manipulators;Data models;Principal component analysis;Feature extraction;Computational modeling","","14","","67","CCBY","23 Jul 2020","","","IEEE","IEEE Journals"
"Multi-Layer Coupled Hidden Markov Model for Cross-Market Behavior Analysis and Trend Forecasting","W. Cao; W. Zhu; Y. Demazeau","School of Economics, Hefei University of Technology, Hefei, China; School of Economics, Hefei University of Technology, Hefei, China; CNRS-LIG, Université Grenoble Alpes, Grenoble, France",IEEE Access,"7 Nov 2019","2019","7","","158563","158574","The frequent global financial crisis indicates the increasing importance and challenge to analyze and forecast the future trends of stock market for investors and trading agents. Especially with the globalization of the world economy and integration of international financial markets, the complex relationships between markets from different countries should be considered in forecasting market trends, involving multi-layered, interactive, evolutionary, and heterogeneous financial variables and the couplings between variable sets from different countries. A variety of methods have been proposed and implemented for forecasting stock market trends, but there is very limited work reported on predicting a market's movement based on analyzing the multi-layered, hidden coupling relationships between various markets in different countries. This involves the analysis of hierarchical coupled behaviors and their relationships across multiple markets, and the nonlinear market dynamics. To address this critical issue, this paper proposes a new approach Multi-layer Coupled Hidden Markov Model (MCHMM) for Hierarchical Cross-market Behavior Analysis (HCBA), namely exploring the complex coupling relationships between variables of markets from a country (Layer-1 coupling) and couplings between markets from various countries (Layer-2 coupling), to forecast a stock market's movements. Toward capturing the hierarchical coupled market behaviors, a Multi-layered Coupled Hidden Markov Model (MCHMM) is built to infer movements of a stock market in a target country by forecasting its price return probabilities. The experimental results on 11 years of data from two types of markets (stock market and currency market) of 13 countries show that our proposed approach outperforms other four benchmarks from technical and business perspectives.","2169-3536","","10.1109/ACCESS.2019.2950437","National Natural Science Foundation of China(grant numbers:71801072,71774047); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8887150","Cross-market behavior analysis;MCHMM;trend forecasting;financial market","Hidden Markov models;Couplings;Forecasting;Market research;Stock markets;Time series analysis;Currencies","","11","","33","CCBY","30 Oct 2019","","","IEEE","IEEE Journals"
"A Fuzzy Interval Time-Series Energy and Financial Forecasting Model Using Network-Based Multiple Time-Frequency Spaces and the Induced-Ordered Weighted Averaging Aggregation Operation","G. Liu; F. Xiao; C. -T. Lin; Z. Cao","School of Computer and Information Science, Southwest University, Chongqing, China; School of Computer and Information Science, Southwest University, Chongqing, China; Center for Artificial Intelligence, Faculty of Engineering and IT, University of Technology Sydney, Sydney, NSW, Australia; Department of Computer Science and Information Technology, La Trobe University, Bundoora, VIC, Australia",IEEE Transactions on Fuzzy Systems,"30 Oct 2020","2020","28","11","2677","2690","Forecasting time series is an emerging topic in operational research. Existing time-series models have limited prediction accuracy when faced with the characteristics of nonlinearity and nonstationarity in complex situations related to energy and finance. To enhance overall prediction capabilities and improve forecasting accuracy, in this article we propose a fuzzy interval time-series forecasting model on the basis of network-based multiple time-frequency spaces and the induced-ordered weighted averaging aggregation (IOWA) operation. Specifically, a time-series signal is decomposed into ensemble empirical modes and then reconstructed as various time-frequency spaces, which are transformed into visibility graphs. Then, forecasting intervals in different spaces can be collected after the local random walker link prediction model is adopted. Furthermore, a rule-based representation value function inspired by Yager's golden rule approach is defined, and an appropriate representation value is calculated. Finally, after IOWA is used to aggregate the forecasting outcomes in different time-frequency spaces, the final forecast value can be obtained from the fuzzy forecasting interval. Considering that energy issues are of widespread interest in nature and the social economy, two cases, based on a hydrological time series from the Biliuhe River in China and two well-known sets of financial time-series data, Taiwan Stock Exchange Capitalization Weighted Stock Index and Hang Seng Index, are studied to test the performance of the proposed approach in comparison with existing models. Our results show that the proposed approach can achieve better performance than well-developed models.","1941-0034","","10.1109/TFUZZ.2020.2972823","Research Project of Education and Teaching Reform in Southwest University(grant numbers:2019JY053); Fundamental Research Funds for the Central Universities(grant numbers:XDJK2019C085); Chongqing Overseas Scholars Innovation Program(grant numbers:cx2018077); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8988162","Ensemble empirical mode decomposition (EEMD);financial time series;golden rule;hydrological time series;induced-ordered weighted averaging aggregation (IOWA);link prediction;network analysis;time-series forecasting","Time series analysis;Forecasting;Predictive models;Time-frequency analysis;Autoregressive processes;Prediction algorithms","","43","","98","IEEE","10 Feb 2020","","","IEEE","IEEE Journals"
"A Hybrid Approach of Bayesian Structural Time Series With LSTM to Identify the Influence of News Sentiment on Short-Term Forecasting of Stock Price","P. Ray; B. Ganguli; A. Chakrabarti","Dinabandhu Andrews Institute of Technology and Management, Patuli, India; Department of Statistics, University of Calcutta, Kolkata, India; A. K. Choudhury School of Information Technology, University of Calcutta, Kolkata, India",IEEE Transactions on Computational Social Systems,"30 Sep 2021","2021","8","5","1153","1162","In the financial sector, the stock market and its trends are highly volatile in nature. Recent studies have shown that news articles and social media analysis can have an immense impact on investors’ opinion toward financial markets. Thus, the purpose of this study is to explore the relationship between news sentiment and stock market movement using information from different news agencies, business magazines, and financial portals. This study offers an application of the Bayesian structural time (BST) series model that is more transparent and facilitates better handling of uncertainty than the autoregressive integrated moving average (ARIMA) model and the vector autoregression (VAR) method by using prior information about the structure of the model. One of the main pitfalls of this model is the presumption of linearity. The long short-term memory (LSTM) model is a nonlinear model that can capture various nonlinear structures present in the data set. We propose a hybrid model, which combines the LSTM model with the BST model along with the regression component that captures information from different news sources to identify market predictors. The proposed model detects unusual behavior or anomalous pattern of the stock price movement, which makes our model superior compared to the traditional methods. Our new hybrid model accumulates error with lower rates (3.5%) and shows a remarkable performance over some of the other existing hybrid models, such as AR-MLP, ARIMA-LSTM, and VAR-LSTM model.","2329-924X","","10.1109/TCSS.2021.3073964","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9448324","Anomaly detection;state-space time series model;stock forecasting;text mining;unsupervised learning","Predictive models;Mathematical model;Data models;Market research;Stock markets;Time series analysis;Logic gates","","16","","50","IEEE","8 Jun 2021","","","IEEE","IEEE Journals"
