"Title","Subtitle","Author","Publication","SourceType","Publisher","Volume","Issue","PubDate","AlphaDate","StartPage","EndPage","PageRange","ISSN","EISSN","ISBN","Language","Abstract","DocumentUrl","DOI"
"Gaussian Process-Mixture Conditional Heteroscedasticity.","","Platanios, Emmanouil A; Chatzis, Sotirios P","IEEE transactions on pattern analysis and machine intelligence","Undefined","","36","5","2014-05-01","May 2014","888","900","888-900","","1939-3539","","ENG","Generalized autoregressive conditional heteroscedasticity (GARCH) models have long been considered as one of the most successful families of approaches for volatility modeling in financial return series. In this paper, we propose an alternative approach based on methodologies widely used in the field of statistical machine learning. Specifically, we propose a novel nonparametric Bayesian mixture of Gaussian process regression models, each component of which models the noise variance process that contaminates the observed data as a separate latent Gaussian process driven by the observed data. This way, we essentially obtain a Gaussian process-mixture conditional heteroscedasticity (GPMCH) model for volatility modeling in financial return series. We impose a nonparametric prior with power-law nature over the distribution of the model mixture components, namely the Pitman-Yor process prior, to allow for better capturing modeled data distributions with heavy tails and skewness. Finally, we provide a copula-based approach for obtaining a predictive posterior for the covariances over the asset returns modeled by means of a postulated GPMCH model. We evaluate the efficacy of our approach in a number of benchmark scenarios, and compare its performance to state-of-the-art methodologies.","https://www.proquest.com/docview/1711536889?accountid=12870&bdid=83737&_bd=6noCn7np%2FVznZhUREUGDHrrF%2Biw%3D","https://doi.org/10.1109/TPAMI.2013.183"
"Conducting Causal Analysis by Means of Approximating Probabilistic Truths","","Bo Pieter Johannes Andrée","Entropy","Scholarly Journals","","24","1","2022-01-01","2022","92","","","10994300","","","ENG","Simple SummaryThe current paper develops a probabilistic theory of causation and suggests practical routines for conducting causal inference applicable to new machine learning methods that have, so far, remained relatively underutilized in this context.AbstractThe current paper develops a probabilistic theory of causation using measure-theoretical concepts and suggests practical routines for conducting causal inference. The theory is applicable to both linear and high-dimensional nonlinear models. An example is provided using random forest regressions and daily data on yield spreads. The application tests how uncertainty in short- and long-term inflation expectations interacts with spreads in the daily Bitcoin price. The results are contrasted with those obtained by standard linear Granger causality tests. It is shown that the suggested measure-theoretic approaches do not only lead to better predictive models, but also to more plausible parsimonious descriptions of possible causal flows. The paper concludes that researchers interested in causal analysis should be more aspirational in terms of developing predictive capabilities, even if the interest is in inference and not in prediction per se. The theory developed in the paper provides practitioners guidance for developing causal models using new machine learning methods that have, so far, remained relatively underutilized in this context.","https://www.proquest.com/docview/2621295030?accountid=12870&bdid=83737&_bd=AgaP8%2Bc8Hhyg97w11ISioYlM94I%3D","https://doi.org/10.3390/e24010092"
"A New Framework for Fraud Detection in Bitcoin Transactions Through Ensemble Stacking Model in Smart Cities","","Nayyer, Noor; Javaid, Nadeem; Akbar, Mariam; Aldegheishem, Abdulaziz; Alrajeh, Nabil; Mohsin Jamil","IEEE Access","Scholarly Journals","","11","","2023-01-01","2023","90916","","90916-90938","21693536","","","ENG","Bitcoin has a reputation of being used for unlawful activities, such as money laundering, dark web transactions, and payments for ransomware in the context of smart cities. Blockchain technology prevents illegal transactions, but cannot detect these transactions. Anomaly detection is a fundamental technique for recognizing potential fraud. The heuristic and signature-based approaches were the foundation of earlier detection techniques, but tragically, these methods were insufficient to explore the entire complexity of anomaly detection. Machine Learning (ML) is a promising approach to anomaly detection, as it can be trained on large datasets of known malware samples to identify patterns and features of the transactions. Researchers are focusing on determining an efficient fraud and security threat detection model that overcomes the drawbacks of the existing methods. Therefore, ensemble learning can be applied to anomaly detection in Bitcoin by combining multiple ML classifiers. In the proposed model, the ADASYN-TL (Adaptive Synthetic + Tomek Link) balancing technique is used for data balancing. Random search, grid search and Bayesian optimization are used for hyperparameter tuning. The hyperparameters have a great impact on the performance of the model. For classification, we used the stacking model by combining Decision Tree, Naive Bayes, K-Nearest Neighbors, and Random Forest. We used SHapley Additive exPlanation (SHAP) to interpret the predictions of the stacking model. The model also explores the performance of different classifiers using accuracy, F1-score, Area Under Curve-Receiver Operating Characteristic (AUC-ROC), precision, recall, False Positive Rate (FPR) and execution time, and ultimately selects the ideal model. The proposed model contributes to the development of effective fraud detection models that address the limitations of the existing algorithms. Our stacking model, which combines the prediction of multiple classifiers, achieved the highest F1-score of 97%, precision of 96%, recall of 98%, accuracy of 97%, AUC-ROC of 99% and FPR of 3%.","https://www.proquest.com/docview/2859716063?accountid=12870&bdid=83737&_bd=nMhvaiCmZr%2F3nrjqi2wG%2By3mvoI%3D","https://doi.org/10.1109/ACCESS.2023.3308298"
"RETRACTED ARTICLE: A Bayesian analysis based on multivariate stochastic volatility model: evidence from green stocks","","Ma, Ming; Zhang, Jing","Journal of Combinatorial Optimization","Scholarly Journals","","45","1","2023-01-01","2023","","","","13826905","","","ENG","Green stocks are companies environmental protective and friendly. We test Green stock index in Shanghai Stock Exchange and China Securities Index as safe-havens for global investors. Suitable multivariate-SV model and Bayesian method are used to estimate the spillover effect between different assets among local and global markets. We choose multivariate volatility model because it can efficiently simulate the spillover effect by using machine learning MCMC method. The results show that the Environmental Protection Index (EPI) of Shanghai Stock Exchange (SSE) and China Securities Index (CSI) have no significant volatility spillover from Shanghai Stock index, S &P index, gold price, oil future prices of USA and China. During COVID-19 pandemic, we find Green stock index is a suitable safe-haven with low volatility spillover. Green stock indexes has a strongly one-way spillover to the crude oil future price. Environmentally friendly investor can use diversity green assets to provide a low risk investment portfolio in EPI stock market. The DCGCt-MSV model using machine learning of MCMC method is accurate and outperform others in Bayes parameter estimation.","https://www.proquest.com/docview/2740530868?accountid=12870&bdid=83737&_bd=0%2F%2BwZ56ysGIFRVGtw2CRb%2B75D0g%3D","https://doi.org/10.1007/s10878-022-00936-0"
"Forecasting Crude Oil Prices with Major S&P 500 Stock Prices: Deep Learning, Gaussian Process, and Vine Copula","","Jong-Min, Kim; Jong-Min, Kim; Han, Hope H; Kim, Sangjin","Axioms","Scholarly Journals","","11","8","2022-01-01","2022","375","","","20751680","","","ENG","This paper introduces methodologies in forecasting oil prices (Brent and WTI) with multivariate time series of major S&P 500 stock prices using Gaussian process modeling, deep learning, and vine copula regression. We also apply Bayesian variable selection and nonlinear principal component analysis (NLPCA) for data dimension reduction. With a reduced number of important covariates, we also forecast oil prices (Brent and WTI) with multivariate time series of major S&P 500 stock prices using Gaussian process modeling, deep learning, and vine copula regression. To apply real data to the proposed methods, we select monthly log returns of 2 oil prices and 74 large-cap, major S&P 500 stock prices across the period of February 2001–October 2019. We conclude that vine copula regression with NLPCA is superior overall to other proposed methods in terms of the measures of prediction errors.","https://www.proquest.com/docview/2706102072?accountid=12870&bdid=83737&_bd=2lkiwwrrP6%2B2UFUMfkPNYMv%2BdZI%3D","https://doi.org/10.3390/axioms11080375"
"Bayesian REIT Volatility Estimation and Institutional Portfolio Allocation","","Ward, Colin","Journal of Real Estate Portfolio Management","Scholarly Journals","","14","4","2008-10-01","Oct-Dec 2008","425","","425-441","10835547","","","ENG","Volatility estimation is an integral part of institutional finance with applications in risk management and portfolio allocation. Real estate investment trust volatility is examined using a Bayesian asymmetric GARCH model and is found to better estimate the true volatility series than does the traditional maximum likelihood approach. This paper discusses the shortfalls of maximum likelihood (ML) estimation and the advantages of the Bayesian estimation, particularly to real estate. Conditional variance estimation uncertainty is found to increase with volatility. A portfolio allocation problem highlights that the Bayesian approach performed better than the ML method in preserving capital. [PUBLICATION ABSTRACT]","https://www.proquest.com/docview/197897315?accountid=12870&bdid=83737&_bd=lJNZXBf6hw00NYwtrUIRkEQ3NrI%3D",""
"Industrial Forecasting With Exponentially Smoothed Recurrent Neural Networks","","Dixon, Matthew","Technometrics","Scholarly Journals","","64","1","2022-02-01","Feb 2022","114","","","00401706","","","ENG","Time series modeling has entered an era of unprecedented growth in the size and complexity of data which require new modeling approaches. While many new general purpose machine learning approaches have emerged, they remain poorly understand and irreconcilable with more traditional statistical modeling approaches. We present a general class of exponential smoothed recurrent neural networks (RNNs) which are well suited to modeling nonstationary dynamical systems arising in industrial applications. In particular, we analyze their capacity to characterize the nonlinear partial autocorrelation structure of time series and directly capture dynamic effects such as seasonality and trends. Application of exponentially smoothed RNNs to forecasting electricity load, weather data, and stock prices highlight the efficacy of exponential smoothing of the hidden state for multistep time series forecasting. The results also suggest that popular, but more complicated neural network architectures originally designed for speech processing are likely over-engineered for industrial forecasting and light-weight exponentially smoothed architectures, trained in a fraction of the time, capture the salient features while being superior and more robust than simple RNNs and autoregressive models. Additionally, uncertainty quantification of Bayesian exponential smoothed RNNs is shown to provide improved coverage.","https://www.proquest.com/docview/2868299758?accountid=12870&bdid=83737&_bd=cdmO7J8RCIA06uzF6wUCv1focmw%3D","https://doi.org/10.1080/00401706.2021.1921035"
"SIM.QM-S17 Ethanol in Aqueous Matrix: Supplement Key Comparison, Model 1","","Ávila Calderón, Marco Antonio; Hugo Gasca Aragón; Serrano Caballero, Víctor Manuel; Mariana Arce Osuna; Eliane Cristina Pires do Rego; Bruno Carius Garrido; Valnei Smarçaro da Cunha; Bebić, Jelena; Banjanac, Katarina; Adrian Vicent Claramunt; Paola Avendaño Rivera; Barrios, Juliana; Gonzalez, Ivonne; Wagner Wollinger; Carvalho, Lucas J; Monteiro, Tânia M; Castañeda, Tomas; Etcheverry, Jimena; Marcelo Soto Varas; Almirón, Florencia; Silva, Ana; Shearman, Kittiya; Chaiphet, Thitiphan; Marajh, Dominique; Makgatho, Phaswe; Visser, Ria; Fernandes-Whaley, Maria","Metrologia","Scholarly Journals","","60","1A","2023-01-01","Jan 2023","08020","","","00261394","","","ENG","Main textTo establish international measurement capabilities for the determination of ethanol in aqueous matrices, the CCQM Organic Analysis Working Group (OAWG) has performed three ethanol Key comparisons (2002: CCQM-K27a for forensic aqueous ethanol and CCQM-K27b for ethanol in wine as a commodity; 2005: CCQM-K27 subsequent studies - four levels of ethanol in water; 2007: CCQM-K27.2 Subsequent 2 for forensic levels). To provide an opportunity for the NMIs and DIs within the RMOs, three Key comparisons has been conducted within SIM (SIM.QM-K1, SIM.QM-K27) and AFRIMETS (AFRIMETS.QM-K27). In addition, for the NMIs to support their ethanol in aqueous matrices measurements capabilities, a Track A Model 2 (formerly known as Track B) Key comparison CCQM-K79 (2010) has been completed to compare aqueous ethanol certified reference material (CRM) solutions certified by the participant NMIs and DIs. The current comparison is important to NMIs and DIs to maintain their ethanol in water measurement capabilities, to claim it as a new one as well as to complement their existing measurement capabilities, mainly within the range where the alcohol meter (breathalyzer) needs to be calibrated and verified.In 2017, several NMIs and DIs in SIM expressed their interest in a complementary SIM.QM-K27 comparison, therefore CENAM and INMETRO agreed to collaborate for the realization of a SIM supplement comparison, which was identified as SIM.QM-K27.2019 by the OAWG, and the final assigned name by SIM was SIM.QM-S17. The main purpose of this comparison was to offer to SIM countries and other regions an additional opportunity for the NMI and DIs to evaluate their measurements capabilities in determining mass fraction of ethanol in an aqueous matrix within the mass fraction range from 0.1 mg/g to 5 mg/g. Fourteen laboratories were registered to take part in this comparison, and thirteen sent their results. This report presents the results of the SIM Key comparison SIM.QM-S17.The measurements capabilities demonstrated by the participants in SIM.QM-S17, underpin their ability to assign reference values of ethanol content in aqueous samples for both forensic and commodities applications. Successful participation in SIM.QM-S17 demonstrates the laboratories measurement capabilities in determining mass fraction of ethanol in an aqueous matrix within the mass fraction range from 0.1 mg/g to 5 mg/g. The study material was two batches of solutions of ethanol in water prepared gravimetrically at concentrations between 0.1 mg/g - 5 mg/g by CENAM, dispensed in glass bottles of 50 mL sealed with tear off aluminum crimp seals, with rubber stoppers. In previous SIM.QM.K27 comparison, the purity-corrected gravimetric value of the aqueous ethanol solutions assigned by the coordinating NMI was used to link SIM.QM-K27 to the CCQM-K27 Key comparison reference value (KCRV), where 1 % uncertainty was assigned to the KCRV to have the same uncertainty from the CCQM-K27.2. For this comparison, SIM.QM-S17 two levels aqueous ethanol solutions, the purity assigned by CENAM was not used for KCRV as was informed initially in the protocol, instead in 5-June-2020 at the OAWG, CENAM gravimetric values were presented, as well as the participants results evaluated by four different statistical approaches to assess the candidate KCRV. For both levels of ethanol in aqueous matrix solutions, the DerSimonian-Laird Weighted mean and the Hierarchical Bayes mean methods seem to give a better estimation of the KCRV ± KCRU95 candidate and was agreed by OAWG to use the Hierarchical Bayesian mean, from where the KCRV for SIM.QM-S17 Level 1 (Low-level) and Level 2 (high-level) were (240.92 ± 1.28) mg/kg (k =2) and (389.87 ± 1.52) mg/kg (k =2), respectively. All the thirteen participants in the SIM.QM-S17, including both coordinators, demonstrated their capability to measure ethanol in aqueous matrix in the mass fraction range of 0.1 mg/g to 5 mg/g.To reach the main text of this paper, click on Final Report. Note that this text is that which appears in Appendix B of the BIPM key comparison database https://www.bipm.org/kcdb/.The final report has been peer-reviewed and approved for publication by the CCQM, according to the provisions of the CIPM Mutual Recognition Arrangement (CIPM MRA).","https://www.proquest.com/docview/2872949649?accountid=12870&bdid=83737&_bd=yyiSP%2BRuFpbKAmQUeoZHoEPhIhs%3D","https://doi.org/10.1088/0026-1394/60/1A/08020"
"Negation scope detection in sentiment analysis: Decision support for news-driven trading","","Pröllochs, Nicolas; Feuerriegel, Stefan; Neumann, Dirk","Decision Support Systems","Scholarly Journals","","88","","2016-08-01","Aug 2016","67","","","01679236","","","ENG","Decision support for financial news using natural language processing requires robust methods that process all sentences correctly, including those that are negated. To predict the corresponding negation scope, related literature commonly utilizes rule-based algorithms and generative probabilistic models. In contrast, we propose the use of a tailored reinforcement learning method, since it can conquer learning task of arbitrary length. We then perform a thorough comparison with a two-pronged evaluation. First, we compare the predictive performance using a manually-labeled dataset. Here, reinforcement learning outperforms common approaches from the related literature, leading to a balanced classification accuracy of up to 70.17%. Second, we examine how detecting negation scopes can improve the accuracy of sentiment analysis for financial news, leading to an improvement of up to 10.63% in the correlation between news sentiment and stock market returns. This reveals negation scope detection as a crucial leverage in decision support from sentiment.","https://www.proquest.com/docview/1809597152?accountid=12870&bdid=83737&_bd=TX5itq9BW3%2ByN8dQGZBK5WVpPA4%3D",""
"Gaussian Process-Mixture Conditional Heteroscedasticity","","Platanios, Emmanouil A; Chatzis, Sotirios P","IEEE Transactions on Pattern Analysis and Machine Intelligence","Undefined","Institute of Electrical and Electronics Engineers, Inc., 345 E. 47th St. NY NY 10017-2394 United States","36","5","2014-05-01","May 2014","888","900","888-900","0162-8828","0162-8828","","ENG","Generalized autoregressive conditional heteroscedasticity (GARCH) models have long been considered as one of the most successful families of approaches for volatility modeling in financial return series. In this paper, we propose an alternative approach based on methodologies widely used in the field of statistical machine learning. Specifically, we propose a novel nonparametric Bayesian mixture of Gaussian process regression models, each component of which models the noise variance process that contaminates the observed data as a separate latent Gaussian process driven by the observed data. This way, we essentially obtain a Gaussian process-mixture conditional heteroscedasticity (GPMCH) model for volatility modeling in financial return series. We impose a nonparametric prior with power-law nature over the distribution of the model mixture components, namely the Pitman-Yor process prior, to allow for better capturing modeled data distributions with heavy tails and skewness. Finally, we provide a copula-based approach for obtaining a predictive posterior for the covariances over the asset returns modeled by means of a postulated GPMCH model. We evaluate the efficacy of our approach in a number of benchmark scenarios, and compare its performance to state-of-the-art methodologies.","https://www.proquest.com/docview/1620103378?accountid=12870&bdid=83737&_bd=tnfDMU2QF9zxuQqJmk55Wc0qtDY%3D","https://doi.org/10.1109/TPAMI.2013.183"
