"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Abstract","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Caprioli S.; Cagliero E.; Crupi R.","Caprioli, Sergio (58632917500); Cagliero, Emanuele (58631756500); Crupi, Riccardo (57222250441)","58632917500; 58631756500; 57222250441","Quantifying credit portfolio sensitivity to asset correlations with interpretable generative neural networks","2024","Journal of Risk Model Validation","18","1","","1","17","16","1","10.21314/JRMV.2024.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194178240&doi=10.21314%2fJRMV.2024.002&partnerID=40&md5=dd27c0e6ebdb7dbe41621323fb78bb3f","We propose a novel approach for quantifying the sensitivity of credit portfolio value-at-risk to asset correlations with the use of synthetic financial correlation matrixes generated with deep learning models. In previous work, generative adversarial networks (GANs) were employed to demonstrate the generation of plausible correlation matrixes that capture the essential characteristics observed in empirical correlation matrixes estimated on asset returns. Instead of GANs, we employ variational autoencoders (VAEs) to achieve a more interpretable latent space representation and to obtain a generator of plausible correlation matrixes by sampling the VAE’s latent space. Through our analysis, we reveal that the VAE’s latent space can be a useful tool to capture the crucial factors impacting portfolio diversification, particularly in relation to the sensitivity of credit portfolios to changes in asset correlations. A VAE trained on the historical time series of correlation matrixes is used to generate synthetic correlation matrixes that satisfy a set of expected financial properties. Our analysis provides clear indications that the capacity for realistic data augmentation provided by VAEs, combined with the ability to obtain model interpretability, can prove useful for risk management, enhancing the resilience and accuracy of models when backtesting, as past data may exhibit biases and might not contain the essential high-stress events required for evaluating diverse risk scenarios. © 2024 Infopro Digital Risk (IP) Limited","concentration risk; credit portfolio model; explainable artificial intelligence (XAI); generative neural network; interpretable generative neural networks; variational autoencoder (VAE)","","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85194178240"
"Clintworth M.; Lyridis D.; Boulougouris E.","Clintworth, Mark (57194013072); Lyridis, Dimitrios (6506983549); Boulougouris, Evangelos (7801393511)","57194013072; 6506983549; 7801393511","Financial risk assessment in shipping: a holistic machine learning based methodology","2023","Maritime Economics and Logistics","25","1","","90","121","31","7","10.1057/s41278-020-00183-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098792497&doi=10.1057%2fs41278-020-00183-2&partnerID=40&md5=5bcec820bb4f99bb3c5ab420236183a7","Corporate financial distress (FD) prediction models are of great importance to all stakeholders, including regulators and banks, who rely on acceptable estimates of default risk, for both individual borrowers and bank loan portfolios. Whilst this subject has been covered extensively in finance research, its application to international shipping companies has been limited while the focus has mainly been on the application of traditional linear modelling, using sparse, cross-sectional financial statement data. Insufficient attention has been paid to the noisy and incomplete nature of shipping company financial statement information. This study contributes to the literature through the design, development and testing of a novel holistic machine learning methodology which integrates predictor evaluation and missing data analysis into the distress prediction process. The model was validated using a longitudinal dataset of over 5000 company year-end financial statements combined with macroeconomic and market predictors. We applied this methodology first for individual company level distress prediction before testing the models’ ability to provide accurate confidence intervals by backtesting conditional value-at-risk estimations of the distress rates for bank portfolios. We conclude that, by adopting a holistic approach, our methodology can enhance financial monitoring of company loans and bank loan portfolios thereby providing a practical “early warning system” for financial distress. © 2021, The Author(s), under exclusive licence to Springer Nature Limited part of Springer Nature.","Conditional value-at-risk; Extreme gradient boosting; Financial distress; Generalised additive modelling; Machine learning; Multivariate imputation; Random forest","","Article","Final","","Scopus","2-s2.0-85098792497"
"Kim J.-M.; Han H.H.; Kim S.","Kim, Jong-Min (55720212100); Han, Hope H. (57216825024); Kim, Sangjin (57190955712)","55720212100; 57216825024; 57190955712","Forecasting Crude Oil Prices with Major S&P 500 Stock Prices: Deep Learning, Gaussian Process, and Vine Copula","2022","Axioms","11","8","375","","","","5","10.3390/axioms11080375","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137349001&doi=10.3390%2faxioms11080375&partnerID=40&md5=4d7986ea8eeeda89646d2f25cc7c3383","This paper introduces methodologies in forecasting oil prices (Brent and WTI) with multivariate time series of major S&P 500 stock prices using Gaussian process modeling, deep learning, and vine copula regression. We also apply Bayesian variable selection and nonlinear principal component analysis (NLPCA) for data dimension reduction. With a reduced number of important covariates, we also forecast oil prices (Brent and WTI) with multivariate time series of major S&P 500 stock prices using Gaussian process modeling, deep learning, and vine copula regression. To apply real data to the proposed methods, we select monthly log returns of 2 oil prices and 74 large-cap, major S&P 500 stock prices across the period of February 2001–October 2019. We conclude that vine copula regression with NLPCA is superior overall to other proposed methods in terms of the measures of prediction errors. © 2022 by the authors.","Bayesian variable selection; functional principal component analysis; Gaussian process model; multivariate time series; nonlinear principal component analysis; oil prices; S&P 500; vine copula","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85137349001"
"Jin B.; Xu X.","Jin, Bingzi (58914834300); Xu, Xiaojie (57192066072)","58914834300; 57192066072","Forecasting wholesale prices of yellow corn through the Gaussian process regression","2024","Neural Computing and Applications","36","15","","8693","8710","17","32","10.1007/s00521-024-09531-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186458437&doi=10.1007%2fs00521-024-09531-2&partnerID=40&md5=0fe2e3c0698e99f38493a7e632e5f849","For market players and policy officials, commodity price forecasts are crucial problems that are challenging to address due to the complexity of price time series. Given its strategic importance, corn crops are hardly an exception. The current paper evaluates the forecasting issue for China’s weekly wholesale price index for yellow corn from January 1, 2010 to January 10, 2020. We develop a Gaussian process regression model using cross validation and Bayesian optimizations over various kernels and basis functions that could effectively handle this sophisticated commodity price forecast problem. The model provides precise out-of-sample forecasts from January 4, 2019 to January 10, 2020, with a relative root mean square error, root mean square error, and mean absolute error of 1.245%, 1.605, and 0.936, respectively. The models developed here might be used by market players for market evaluations and decision-making as well as by policymakers for policy creation and execution. © The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature 2024.","Commodity price; Corn; Forecasting; Gaussian process regression; Machine learning","Commerce; Decision making; Errors; Gaussian distribution; Gaussian noise (electronic); Machine learning; Mean square error; Regression analysis; Commodity prices; Corn; Gaussian process regression; Machine-learning; Market players; Price forecasts; Root mean square errors; Times series; Whole sale prices; Yellow corn; Forecasting","Article","Final","","Scopus","2-s2.0-85186458437"
"Li Z.; Li C.; Min L.; Lin D.","Li, Zhen (58514566900); Li, Changfei (58558014600); Min, Liangyu (57220547786); Lin, Dijia (58724491900)","58514566900; 58558014600; 57220547786; 58724491900","Black-Litterman Portfolio Optimization Using Gaussian Process Regression","2023","IAENG International Journal of Applied Mathematics","53","4","IJAM_53_4_34","","","","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177977642&partnerID=40&md5=fbf575a15307ad11af0b36c81aedb536","The Black-Litterman portfolios based on the predictions provided by Gaussian Process are constructed in this study. Besides the expert views generated by the Gaussian Process, an customized algorithm quantifying the confidence level of the given investor opinions is also designed, which can be inputted into the Black-Litterman framework to revise the posterior parameters estimations. Low-risk anomaly is observed from the numerical experiments through the grouping method base on stock β, demonstrating the potential irrationality for even giant companies and brands on the advanced market. Empirical analysis shows that Gaussian Process is able to model the low β stock effectively, while not feasible for stocks with high volatility. Thus, the proposed BLGPlo portfolio outperform the benchmarks in terms of cumulative excess return and Sharpe ratio. Moreover, the BLGPlo performance can be further improved by allocating higher confidence level for the Gaussian Process-derived investor opinions. © (2023), (International Association of Engineers). All Rights Reserved.","Black-Litterman; Gaussian Process; Machine learning; Portfolio selection","Financial data processing; Financial markets; Gaussian distribution; Gaussian noise (electronic); Numerical methods; Black-litterman; Confidence levels; Gaussian process regression; Gaussian Processes; Machine-learning; Method base; Numerical experiments; Parameters estimation; Portfolio optimization; Portfolio selection; Machine learning","Article","Final","","Scopus","2-s2.0-85177977642"
"Bucci A.; He L.; Liu Z.","Bucci, Andrea (57195419707); He, Lidan (57216738390); Liu, Zhi (16245021700)","57195419707; 57216738390; 16245021700","Combining dimensionality reduction methods with neural networks for realized volatility forecasting","2023","Annals of Operations Research","","","","","","","7","10.1007/s10479-023-05544-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168905569&doi=10.1007%2fs10479-023-05544-7&partnerID=40&md5=97bcb89dab73c355644864e60b86164f","The application of artificial neural networks to finance has recently received a great deal of attention from both investors and researchers, particularly as a forecasting tool. However, when dealing with a large number of predictors, these methods may overfit the data and provide poor out-of-sample forecasts. Our paper addresses this issue by employing two different approaches to predict realized volatility. On the one hand, we use a two-step procedure where several dimensionality reduction methods, such as Bayesian Model Averaging (BMA), Principal Component Analysis (PCA), and Least Absolute Shrinkage and Selection Operator (Lasso), are employed in the initial step to reduce dimensionality. The reduced samples are then combined with artificial neutral networks. On the other hand, we implement two single-step regularized neural networks that can shrink the input weights to zero and effectively handle high-dimensional data. Our findings on the volatility of different stock asset prices indicate that the reduced models outperform the compared models without regularization in terms of predictive accuracy. © 2023, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","Artificial neural network; Bayesian model averaging; Machine-learning; PCA Method; Realized volatility","","Article","Article in press","","Scopus","2-s2.0-85168905569"
"Abaker A.O.I.; Mahmoud A.S.; Mohammed B.O.; Alzahrani A.R.R.; Mohamed A.O.Y.; Elhag A.A.","Abaker, Abdelgalal O.I. (58817476400); Mahmoud, Abdalla S. (58817586500); Mohammed, Badawi O. (58817476500); Alzahrani, Ali R.R. (57215434238); Mohamed, Adil O.Y. (58148958300); Elhag, Azhari A. (57217536854)","58817476400; 58817586500; 58817476500; 57215434238; 58148958300; 57217536854","A Study of The Saudi Stock Market Using Some Statistical Models","2023","Journal of Statistics Applications and Probability","12","","","1591","1596","5","0","10.18576/jsap/12S115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182584884&doi=10.18576%2fjsap%2f12S115&partnerID=40&md5=7e015e695ca1d8e1807506960ce77c07","The objective of this paper is to estimate the diversification effects/benefits of an investment in a portfolio consisting of the South African Industrial (J520) and the Financial (J580) Indices using the Generalised Pareto Distributions (GPDs) with an extreme value Gumbel copula. The GPD is used as the marginal distribution to both assets to better characterize the extreme risk of returns in both Indices tails. The extreme value Gumbel copula captures the dependence structure (co-movement) of the financial assets in the portfolio. The Akaike information criterion (AIC) and Bayesian information criterion (BIC) goodness of fit tests and the scatterplots indicate that the upper tail of the gains (the larger gains) risk and the losses tail (the larger losses) are best captured using the extreme value Gumbel copula. Monte Carlo simulation of an equally weighted portfolio of the two Indices is used to estimate the portfolio risk. The univariate marginal risks and the portfolio risks are used to calculate the diversification effects/benefits. The results show that there are benefits in diversification since the riskiness of the portfolio is less than the sum of the risk of the two financial assets. This implies that VaR, although not additive theoretically, is sub-additive in this practical situation. This property of sub-additivity represents the benefits of diversification for a portfolio. The implication is that investors investing in individual risky assets can benefit from constructing such a portfolio to reduce extreme risk. Due to high dependence and contagion between developed markets/Global markets, this is useful information for local and international investors seeking a portfolio which includes developing countries' market Indices, such as South African assets, which are less correlated with other Global markets, thereby reducing the risk of contagion. © 2023 NSP Natural Sciences Publishing Cor.","ARIMA models; GARCH models; Leverage effect; Machine Learning; Statistical Model; Stock market; Volatility clustering","","Article","Final","","Scopus","2-s2.0-85182584884"
"Jin B.; Xu X.","Jin, Bingzi (58914834300); Xu, Xiaojie (57192066072)","58914834300; 57192066072","Predictions of steel price indices through machine learning for the regional northeast Chinese market","2024","Neural Computing and Applications","36","33","","20863","20882","19","3","10.1007/s00521-024-10270-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85199406308&doi=10.1007%2fs00521-024-10270-7&partnerID=40&md5=b2c530af714ae07e5c9015a0b46f31d0","Projections of commodity prices have long been a significant source of dependence for investors and the government. This study investigates the challenging topic of forecasting the daily regional steel price index in the northeast Chinese market from January 1, 2010, to April 15, 2021. The projection of this significant commodity price indication has not received enough attention in the literature. The forecasting model that is used is Gaussian process regressions, which are trained using a mix of cross-validation and Bayesian optimizations. The models that were built precisely predicted the price indices between January 8, 2019, and April 15, 2021, with an out-of-sample relative root mean square error of 0.5432%. Investors and government officials can use the established models to study pricing and make judgments. Forecasting results can help create comparable commodity price indices when reference data on the price trends suggested by these models are used. © The Author(s), under exclusive licence to Springer-Verlag London Ltd., part of Springer Nature 2024.","Bayesian optimization; Cross-validation; Gaussian process regression; Regional steel price index; Time series forecast","Commerce; Costs; Gaussian distribution; Investments; Prediction models; Bayesian optimization; Chinese markets; Commodity prices; Cross validation; Gaussian process regression; Machine-learning; Price index; Regional steel price index; Steel price; Time series forecasts; Mean square error","Article","Final","","Scopus","2-s2.0-85199406308"
"Zaffar A.; Hussain S.M.A.","Zaffar, Asma (55853877100); Hussain, S. M. Aalim (51663532800)","55853877100; 51663532800","Modeling and prediction of KSE – 100 index closing based on news sentiments: an applications of machine learning model and ARMA (p, q) model","2022","Multimedia Tools and Applications","81","23","","33311","33333","22","7","10.1007/s11042-022-13052-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128331249&doi=10.1007%2fs11042-022-13052-2&partnerID=40&md5=29109fe07a2008cbc256042d7ee0dbcb","The main financial markets of every country are stock exchange and consider as an imperative cause for the corporations to increase capital. The novelty of this study to explore machine learning techniques when applied to financial stock market data, and to understand how machine learning algorithms can be applied and compare the result with time series analysis to real lifetime series data and helpful for any investor. Investors are constantly reviewing past pricing history and using it to influence their future investment decisions. The another novelty of this study, using news sentiments, the values will be processed into lists displaying and representing the stock and predicting the future rates to describe the market, and to compare investments, which will help to avoid uncertainty amongst the investors regarding the stock index. Using artificial neural network technique for prediction for KSE 100 index data on closing day. In this regard, six months’ data cycle trained the data and apply the statistical interference using a ARMA (p, q) model to calculate numerical result. The novelty of this study to find the relation between them either they are strongly correlated or not, using machine learning techniques and ARMA (p, q) process to forecast the behavior KSE 100 index cycles. The adequacy of model describes via least values Akaike information criterion (AIC), Bayesian Schwarz information criterion (SIC) and Hannan Quinn information criterion (HIC). Durbin- Watson (DW) test is also applied. DW values (< 2) shows that all cycles are strongly correlated. Most of the KSE-100 index cycles expresses that the appropriate model is ARMA (2,1). Cycle’s 2nd,3rd,4th and 5th shows that ARMA (3,1) is best fitted. Cycle 8th is shows ARMA (1,1) best fit and cycle 12th shows that the most appropriate model is ARMA (4,1). Diagnostic checking tests like Root Mean Squared Error (RMSE), Mean Absolute Error (MAE), Mean Absolute Percentage Error (MAPE) and Theil’s U-Statistics are used to predict KSE-100 index cycles. Theil’s U-Statistics demonstrate that each cycle is strongly correlated to previous one. © 2022, The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature.","ARMA (p; KSE-100 index; MAE; Q); RMSE; Theil’s U-statistics","Commerce; Electronic trading; Errors; Financial markets; Forecasting; Investments; Machine learning; Mean square error; Neural networks; Statistical tests; Time series analysis; Appropriate models; ARMA (p; Information criterion; KSE-100 index; Machine learning techniques; Mean absolute error; Q); Root mean squared errors; Theil’s U-statistic; U-statistics; Learning algorithms","Article","Final","All Open Access; Bronze Open Access; Green Open Access","Scopus","2-s2.0-85128331249"
"Fabiani G.; Evangelou N.; Cui T.; Bello-Rivas J.M.; Martin-Linares C.P.; Siettos C.; Kevrekidis I.G.","Fabiani, Gianluca (57221812867); Evangelou, Nikolaos (58707788300); Cui, Tianqi (57223960659); Bello-Rivas, Juan M. (56536961700); Martin-Linares, Cristina P. (58632749700); Siettos, Constantinos (6603568664); Kevrekidis, Ioannis G. (35479930600)","57221812867; 58707788300; 57223960659; 56536961700; 58632749700; 6603568664; 35479930600","Task-oriented machine learning surrogates for tipping points of agent-based models","2024","Nature Communications","15","1","4117","","","","3","10.1038/s41467-024-48024-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85193318428&doi=10.1038%2fs41467-024-48024-7&partnerID=40&md5=c612f29b8137df31a84d2f712127bd65","We present a machine learning framework bridging manifold learning, neural networks, Gaussian processes, and Equation-Free multiscale approach, for the construction of different types of effective reduced order models from detailed agent-based simulators and the systematic multiscale numerical analysis of their emergent dynamics. The specific tasks of interest here include the detection of tipping points, and the uncertainty quantification of rare events near them. Our illustrative examples are an event-driven, stochastic financial market model describing the mimetic behavior of traders, and a compartmental stochastic epidemic model on an Erdös-Rényi network. We contrast the pros and cons of the different types of surrogate models and the effort involved in learning them. Importantly, the proposed framework reveals that, around the tipping points, the emergent dynamics of both benchmark examples can be effectively described by a one-dimensional stochastic differential equation, thus revealing the intrinsic dimensionality of the normal form of the specific type of the tipping point. This allows a significant reduction in the computational cost of the tasks of interest. © The Author(s) 2024.","","benchmarking; cost analysis; financial market; machine learning; numerical model; simulator; agent based model; Article; digital twin; epidemiological model; feed forward neural network; financial market; imitation; information; machine learning; manifold learning; mean squared error; positive feedback; prediction; probability; simulation; social connectedness; social network; steady state; stochastic model; stock market; article; benchmarking; controlled study; epidemiological model; financial market; human; learning; manifold learning; nerve cell network; simulator","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85193318428"
