PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Nguyen, N; Nguyen, D				Nguyen, Nguyet; Nguyen, Dung			Global Stock Selection with Hidden Markov Model	RISKS				Article						global stocks; trading; machine learning; hidden Markov model; economics; regimes; stock ranking; stocks&#8217; factors; economics indicators	PROBABILISTIC FUNCTIONS	Hidden Markov model (HMM) is a powerful machine-learning method for data regime detection, especially time series data. In this paper, we establish a multi-step procedure for using HMM to select stocks from the global stock market. First, the five important factors of a stock are identified and scored based on its historical performances. Second, HMM is used to predict the regimes of six global economic indicators and find the time periods in the past during which these indicators have a combination of regimes that is similar to those predicted. Then, we analyze the five stock factors of the All country world index (ACWI) in the identified time periods to assign a weighted score for each stock factor and to calculate the composite score of the five factors. Finally, we make a monthly selection of 10% of the global stocks that have the highest composite scores. This strategy is shown to outperform those relying on either ACWI, any single stock factor, or the simple average of the five stock factors.	[Nguyen, Nguyet] Youngstown State Univ, Dept Math & Stat, 31 Lincoln Ave, Youngstown, OH 44503 USA; [Nguyen, Dung] Ned Davis Res Grp, 600 Bird Bay Dr West, Venice, FL 34285 USA		Nguyen, N (corresponding author), Youngstown State Univ, Dept Math & Stat, 31 Lincoln Ave, Youngstown, OH 44503 USA.	ntnguyen01@ysu.edu; dung@ndr.com		Nguyen, Nguyet/0000-0001-7963-9963						6	6											JAN	2021	9	1							9	10.3390/risks9010009	http://dx.doi.org/10.3390/risks9010009												2024-10-15	WOS:000610728400001
J	Zhang, MQ; Jiang, X; Fang, ZH; Zeng, Y; Xu, K				Zhang, Mengqi; Jiang, Xin; Fang, Zehua; Zeng, Yue; Xu, Ke			High-order Hidden Markov Model for trend prediction in financial time series	PHYSICA A-STATISTICAL MECHANICS AND ITS APPLICATIONS				Article						High-order HMM; Trend prediction; Trading algorithm	MAXIMUM-LIKELIHOOD ESTIMATION; PATTERN	Financial price series trend prediction is an essential problem which has been discussed extensively using tools and techniques of economic physics and machine learning. Time dependence and volatility issues in this problem have made Hidden Markov Model (HMM) a useful tool in predicting the states of stock market. In this paper, we present an approach to predict the stock market price trend based on high-order HMM. Different from the commonly used first-order HMM, short and long-term time dependence are both considered in the high order HMM. By introducing a dimension reduction method which could transform the high-dimensional state vector of high-order HMM into a single one, we present a dynamic high-order HMM trading strategy to predict and trade CSI 300 and S&P 500 stock index for the next day given historical data. In our approach, we make a statistic of the daily returns in the history to demonstrate the relationship between hidden states and the price change trend. Experiments on CSI 300 and S&P 500 index illustrate that high-order HMM has preferable ability to identify market price trend than first-order one. Thus, the high-order HMM has higher accuracy and lower risk than the first-order model in predicting the index price trend. (C) 2018 Elsevier B.V. All rights reserved.	[Zhang, Mengqi; Jiang, Xin; Xu, Ke] Beijing Adv Innovat Ctr Big Data & Brain Comp BDB, Beijing, Peoples R China; [Zhang, Mengqi; Jiang, Xin; Fang, Zehua; Zeng, Yue] Beihang Univ, LMIB, Beijing 100191, Peoples R China; [Zhang, Mengqi; Jiang, Xin; Fang, Zehua; Zeng, Yue] Beihang Univ, Sch Math & Syst Sci, Beijing 100191, Peoples R China; [Xu, Ke] Beihang Univ, Sch Comp Sci & Engn, Beijing 100191, Peoples R China		Jiang, X (corresponding author), Beihang Univ, Sch Math & Syst Sci, Beijing 100191, Peoples R China.	jiangxin@buaa.edu.cn	Zhang, Mengqi/IWU-9043-2023; xu, ke/JSL-2305-2023							41	44											MAR 1	2019	517						1	12		10.1016/j.physa.2018.10.053	http://dx.doi.org/10.1016/j.physa.2018.10.053												2024-10-15	WOS:000456228800001
J	Shah, YS; Liu, YM; Shah, FZ; Shah, F; Satti, MI; Asenso, E; Shabaz, M; Irshad, A				Shah, Yasir; Liu, Yumin; Shah, Faiza; Shah, Fadia; Satti, Muhammad Islam; Asenso, Evans; Shabaz, Mohammad; Irshad, Azeem			COVID-19 and commodity effects monitoring using financial & machine learning models	SCIENTIFIC AFRICAN				Article						VAR model; Machine learning; Commodity effect; Global financial analysis; COVID-19		This article focuses on examining the effects of the COVID-19 pandemic and gold prices on the stock market. It primarily analyzes the relationship between COVID-19 cases and stock market prices, along with the impact on various commodity elements such as gold, oil, Chinese RMB, and US Dollar prices. These commodity elements are considered essential indicators of a country's financial health, and the study investigates how the increase in COVID-19 cases affects these financial elements. The research incorporates financial models, machine learning algorithms, and a financial Gaussian mixture model for data analysis and comparison. The findings shed light on the correlation between the virus, trading outcomes, and the importance of Karachi Stock Exchange-100 index data in preventing market crashes. The study also explores the implications of emergencies on the finance sector and provides insights for future financial predictions and the impact of social disasters on the economy.	[Shah, Yasir; Liu, Yumin; Shah, Faiza] Zhengzhou Univ, Sch Business, Zhengzhou 450001, Peoples R China; [Shah, Fadia] SZABIST, Dept Comp Sci, Islamabad, Pakistan; [Satti, Muhammad Islam] Millennium Inst Technol & Entrepreneurship MiTE, Dept Comp TMUC, Karachi, Pakistan; [Asenso, Evans] Univ Ghana, Sch Engn Sci, Dept Agr Engn, Accra, Ghana; [Shabaz, Mohammad] Model Inst Engn & Technol, Jammu, Jammu And Kashm, India; [Irshad, Azeem] Int Islamic Univ, Dept Comp Sci & Software Engn, Islamabad, Pakistan		Asenso, E (corresponding author), Univ Ghana, Sch Engn Sci, Dept Agr Engn, Accra, Ghana.	easenso@ug.edu.gh	Islam, Muhammad Satti/GLS-2976-2022; Irshad, Azeem/E-7400-2010; Asenso, Evans/AAC-1122-2019; Shabaz, Mohammad/AAB-3168-2020	Shabaz, Mohammad/0000-0001-5106-7609						2	2											SEP	2023	21								e01856	10.1016/j.sciaf.2023.e01856	http://dx.doi.org/10.1016/j.sciaf.2023.e01856		AUG 2023										2024-10-15	WOS:001061639000001
J	Fereydooni, A; Mahootchi, M				Fereydooni, Ali; Mahootchi, Masoud			An algorithmic trading system based on a stacked generalization model and hidden Markov model in the foreign exchange market	GLOBAL FINANCE JOURNAL				Article						Foreign exchange market; Stacked generalization model; Hidden Markov model; Time series forecasting; Time series clustering	NEURAL-NETWORK; TIME-SERIES; ENSEMBLE; COMBINATION; PREDICTION; OIL	The Forex market has been one of the most attractive markets to researchers, funds, and traders. Literature shows that a single model algorithm usually cannot perform satisfactorily on the foreign exchange (Forex) time series because of the market's complexity. This study develops an algorithm based on two stacked generalization models consisting of four machine-learning models. First, the optimal lags of features are found using the Fisher discriminant ratio and partial autocorrelation function. Second, one stacked model fits the bullish trends, and the other holds the bearish trends resulting from a hidden Markov model. We reinforce the predictive signals of these models by extracting relationships between currency pairs with correlation and mutual information. Lastly, the proposed algorithm constructs a portfolio based on the strength of signals dependent on correlation and mutual information. As a result, this paper compares the performance of the proposed approach with different states of the model and several established benchmarks regarding return and risk metrics. The outcomes show that the proposed model's added features-such as time series clustering, considering a range of inputs, and internal relationships among different assets-can increase its performance in the Forex market.	[Fereydooni, Ali; Mahootchi, Masoud] Amirkabir Univ Technol, Dept Ind Engn & Management Syst, 424 Hafez Ave, Tehran, Iran		Mahootchi, M (corresponding author), Amirkabir Univ Technol, Dept Ind Engn & Management Syst, 424 Hafez Ave, Tehran, Iran.	mmahootchi@aut.ac.ir		Fereydooni, Ali/0000-0003-0558-7747						5	5											MAY	2023	56								100825	10.1016/j.gfj.2023.100825	http://dx.doi.org/10.1016/j.gfj.2023.100825		APR 2023										2024-10-15	WOS:000980522800001
J	Su, Z; Yi, B				Su, Zhi; Yi, Bo			Research on HMM-Based Efficient Stock Price Prediction	MOBILE INFORMATION SYSTEMS				Article							ADAPTIVE MARKETS; MODEL; VOLATILITY	Stock market is one of the most important parts of the investment market. Compared with other industries, the stock market not only has a higher rate of return on investment but also has a higher risk, and stock price prediction has always been a close concern of investors. Therefore, the research on stock price prediction methods and how to reduce the error of stock price prediction has become a hot topic for many scholars at home and abroad. In recent years, the development of computer technology such as machine learning and econometric method makes the stock price prediction more reliable. Due to the hidden Markov nature of stock price, this paper proposes a stock price prediction method based on hidden Markov model (HMM). To be specific, since the data of stock price have continuity in time series, it is necessary to extend the discrete HMM to the continuous HMM, and then put forward the up and down trend prediction model based on the continuous HMM. The first-order continuous HMM is extended to the second-order continuous HMM, and the stock price is predicted by combining the prediction method of fluctuation range. As a result, the proposed second-order continuous HMM-based stock price prediction model is simulated on Hang Seng Index (HSI), one of the earliest stock market indexes in Hong Kong. The evaluation results on six months HSI show that the predicted value of the proposed model is very close to the actual value and outperforms three benchmarks in terms of RMSE, MAE, and R-2.	[Su, Zhi; Yi, Bo] Cent Univ Finance & Econ, Sch Stat & Math, Beijing 100081, Peoples R China		Yi, B (corresponding author), Cent Univ Finance & Econ, Sch Stat & Math, Beijing 100081, Peoples R China.	zhisu@cufe.edu.cn; 2018110076@email.cufe.edu.cn		Yi, Bo/0000-0002-2351-1351						3	3											MAR 7	2022	2022								8124149	10.1155/2022/8124149	http://dx.doi.org/10.1155/2022/8124149												2024-10-15	WOS:000773704100006
J	Althelaya, KA; Mohammed, SA; El-Alfy, EM				Althelaya, Khaled A.; Mohammed, Salahadin A.; El-Alfy, El-Sayed M.			Combining Deep Learning and Multiresolution Analysis for Stock Market Forecasting	IEEE ACCESS				Article						Predictive models; Forecasting; Multiresolution analysis; Hidden Markov models; Wavelet transforms; Data models; Transforms; Deep learning; multiresolution analysis; long-short term memory; financial time series; forecasting		Due to its complexity, financial time-series forecasting is regarded as one of the most challenging problems. During the past two decades, nonlinear modeling techniques, such as artificial neural networks, were commonly employed to solve a variety of time-series problems. Recently, however, deep neural network has been found to be more efficient than those in many application domains. In this article, we propose a model based on deep neural networks that improves the forecasting of stock prices. We investigate the impact of combining deep learning techniques with multiresolution analysis to improve the forecasting accuracy. Our proposed model is based on an empirical wavelet transform which is shown to outperform traditional stationary wavelet transform in capturing price fluctuations at different time scales. The proposed model is demonstrated to be substantially more effective than other models when evaluated on the S&P500 stock index and Mackey-Glass time series.	[Althelaya, Khaled A.; Mohammed, Salahadin A.; El-Alfy, El-Sayed M.] King Fahd Univ Petr & Minerals, Informat & Comp Sci Dept, Dhahran 31261, Saudi Arabia		Mohammed, SA (corresponding author), King Fahd Univ Petr & Minerals, Informat & Comp Sci Dept, Dhahran 31261, Saudi Arabia.	adam@kfupm.edu.sa	Al-Thelaya, Khaled/AAX-8759-2021; El-Alfy, El-Sayed/G-3103-2011	El-Alfy, El-Sayed/0000-0001-6279-9776; Al-Thelaya, Khaled/0000-0003-2363-4586						17	17												2021	9						13099	13111		10.1109/ACCESS.2021.3051872	http://dx.doi.org/10.1109/ACCESS.2021.3051872												2024-10-15	WOS:000612063900001
J	Li, Y; Chen, L; Sun, CP; Liu, GX; Chen, CL; Zhang, YH				Li, Yi; Chen, Lei; Sun, Cuiping; Liu, Guoxu; Chen, Chunlei; Zhang, Yonghui			Accurate Stock Price Forecasting Based on Deep Learning and Hierarchical Frequency Decomposition	IEEE ACCESS				Article						Predictive models; Hidden Markov models; Forecasting; Autoregressive processes; Deep learning; Time series analysis; Adaptation models; Stock markets; Hierarchical systems; Clustering algorithms; Stock price prediction; deep learning; hierarchical decomposition; clustering	VOLATILITY; SENTIMENT; NETWORK; ARIMA	The stock market is playing an increasingly important role in the global economy. Accurate stock price forecasting not only aids the government in predicting economic trends but also helps investors anticipate higher expected returns. Nevertheless, hurdles such as nonlinearity, complexity and high volatility make it a daunting task to predict stock prices. To address this issue, this study proposes a new hybrid model, termed Hierarchical Decomposition-based Forecasting Model (HDFM), to decompose and forecast stock prices in a hierarchical fashion. The model utilizes complete ensemble empirical mode decomposition with adaptive noise (CEEMDAN) for the initial decomposition of stock price time series. To enhance the predictive efficiency, sub-series with similar sample entropy from the decomposition were combined using the K-means clustering method. Through a thorough analysis, it was found that the first combined sub-series contained more high-frequency signals. Therefore, the first combined sub-series is subjected to a second decomposition with variational mode decomposition (VMD). Subsequently, the gated recurrent unit (GRU) model was used to individually predict each sub-series. The final results were obtained by merging the prediction outcomes. The proposed model was evaluated on three different stock markets. The experimental results show that the proposed model outperforms other forecasting methods across all stock indices. Moreover, ablation studies demonstrated the effectiveness of each component within the proposed model.	[Li, Yi; Chen, Lei] Weifang Univ, Sch Econ & Management, Weifang 261061, Peoples R China; [Sun, Cuiping] Weifang Univ Sci & Technol, Sch Econ & Management, Weifang 262700, Peoples R China; [Liu, Guoxu; Chen, Chunlei; Zhang, Yonghui] Weifang Univ, Sch Comp Engn, Weifang 261061, Peoples R China		Sun, CP (corresponding author), Weifang Univ Sci & Technol, Sch Econ & Management, Weifang 262700, Peoples R China.	suncuiping@wfust.edu.cn	liu, guoxu/HKD-9179-2023	Liu, Guoxu/0000-0002-3668-4569; Li, Yi/0000-0002-1658-1044						1	1												2024	12						49878	49894		10.1109/ACCESS.2024.3384430	http://dx.doi.org/10.1109/ACCESS.2024.3384430												2024-10-15	WOS:001199959100001
J	Taguchi, R; Watanabe, H; Sakaji, H; Izumi, K; Hiramatsu, K				Taguchi, Rei; Watanabe, Hikaru; Sakaji, Hiroki; Izumi, Kiyoshi; Hiramatsu, Kenji			Constructing Equity Investment Strategies Using Analyst Reports and Regime Switching Models	FRONTIERS IN ARTIFICIAL INTELLIGENCE				Article						BERT; Hidden Markov Model; trading strategy; financial market; regime switching model		This study demonstrates whether analysts' sentiments toward individual stocks are useful for stock investment strategies. This is achieved by using natural language processing to create a polarity index from textual information in analyst reports. In this study, we performed time series forecasting for the created polarity index using deep learning, and clustered the forecasted values by volatility using a regime switching model. In addition, we constructed a portfolio from stock data and rebalanced it at each change point of the regime. Consequently, the investment strategy proposed in this study outperforms the benchmark portfolio in terms of returns. This suggests that the polarity index is useful for constructing stock investment strategies.	[Taguchi, Rei; Sakaji, Hiroki; Izumi, Kiyoshi] Univ Tokyo, Sch Engn, Tokyo, Japan; [Watanabe, Hikaru] Univ Tokyo, Fac Engn, Tokyo, Japan; [Hiramatsu, Kenji] IFIS Japan Ltd, Tokyo, Japan		Taguchi, R (corresponding author), Univ Tokyo, Sch Engn, Tokyo, Japan.	s5abadiee@g.ecc.u-tokyo.ac.jp	Sakaji, Hiroki/KFS-9842-2024							2	2											MAY 18	2022	5								865950	10.3389/frai.2022.865950	http://dx.doi.org/10.3389/frai.2022.865950												2024-10-15	WOS:000915951700001
J	Mari, C; Baldassari, C				Mari, Carlo; Baldassari, Cristiano			Optimization of mixture models on time series networks encoded by visibility graphs: an analysis of the US electricity market	COMPUTATIONAL MANAGEMENT SCIENCE				Article						Visibility graph; Markov transition field; Graph embedding; Graph machine learning; Topological data analysis	LOCALLY WEIGHTED REGRESSION; COMPLEX NETWORKS; LIKELIHOOD; ALGORITHM	We propose a fully unsupervised network-based methodology for estimating Gaussian Mixture Models on financial time series by maximum likelihood using the Expectation-Maximization algorithm. Visibility graph-structured information of observed data is used to initialize the algorithm. The proposed methodology is applied to the US wholesale electricity market. We will demonstrate that encoding time series through Visibility Graphs allows us to capture the behavior of the time series and the nonlinear interactions between observations well. The results reveal that the proposed methodology outperforms more established approaches.	[Mari, Carlo] Univ G dAnnunzio, Dept Econ, Viale Pindaro 42, I-65100 Pescara, PE, Italy; [Baldassari, Cristiano] Univ G dAnnunzio, Dept Neurosci Imaging & Clin Sci, Via Luigi Polacchi 11, I-66100 Chieti, CH, Italy		Baldassari, C (corresponding author), Univ G dAnnunzio, Dept Neurosci Imaging & Clin Sci, Via Luigi Polacchi 11, I-66100 Chieti, CH, Italy.	carlo.mari@unich.it; cristiano.baldassari@unich.it	Mari, Carlo/KEJ-3882-2024	MARI, Carlo/0000-0002-7096-0774						0	0											DEC	2023	20	1							28	10.1007/s10287-023-00460-4	http://dx.doi.org/10.1007/s10287-023-00460-4												2024-10-15	WOS:000998898300002
J	Shi, C; Zhuang, XS				Shi, Chao; Zhuang, Xiaosheng			A Study Concerning Soft Computing Approaches for Stock Price Forecasting	AXIOMS				Review						machine learning; stock price prediction; Hong Kong's market; SVR; HMM; ANN; DWT; EMD	EMPIRICAL MODE DECOMPOSITION; ARTIFICIAL NEURAL-NETWORKS; HIDDEN MARKOV MODEL; CLASSIFICATION; MACHINE; MARKETS; ANN	Financial time-series are well known for their non-linearity and non-stationarity nature. The application of conventional econometric models in prediction can incur significant errors. The fast advancement of soft computing techniques provides an alternative approach for estimating and forecasting volatile stock prices. Soft computing approaches exploit tolerance for imprecision, uncertainty, and partial truth to progressively and adaptively solve practical problems. In this study, a comprehensive review of latest soft computing tools is given. Then, examples incorporating a series of machine learning models, including both single and hybrid models, to predict prices of two representative indexes and one stock in Hong Kong's market are undertaken. The prediction performances of different models are evaluated and compared. The effects of the training sample size and stock patterns (viz. momentum and mean reversion) on model prediction are also investigated. Results indicate that artificial neural network (ANN)-based models yield the highest prediction accuracy. It was also found that the determination of optimal training sample size should take the pattern and volatility of stocks into consideration. Large prediction errors could be incurred when stocks exhibit a transition between mean reversion and momentum trend.	[Shi, Chao; Zhuang, Xiaosheng] City Univ Hong Kong, Dept Math, Kowloon, Tat Chee Ave, Hong Kong, Peoples R China		Zhuang, XS (corresponding author), City Univ Hong Kong, Dept Math, Kowloon, Tat Chee Ave, Hong Kong, Peoples R China.	stephen.shi@my.cityu.edu.hk; xzhuang7@cityu.edu.hk	Shi, Chao/ABB-5820-2021; ZHUANG, Xiaosheng/A-2991-2013	shi, chao/0000-0001-5051-4710; ZHUANG, Xiaosheng/0000-0001-7238-0143						10	10											DEC	2019	8	4							116	10.3390/axioms8040116	http://dx.doi.org/10.3390/axioms8040116												2024-10-15	WOS:000505589700021
