ID,Title,Abstract,DOI,Keywords,Origin,Summary,Financial instrument?,Instrument,AI?,Probabilistic?,Decision,Date,Reviewer
WOS:000889065800003,A Bayesian analysis based on multivariate stochastic volatility model: evidence from green stocks,"Green stocks are companies environmental protective and friendly. We test Green stock index in Shanghai Stock Exchange and China Securities Index as safe-havens for global investors. Suitable multivariate-SV model and Bayesian method are used to estimate the spillover effect between different assets among local and global markets. We choose multivariate volatility model because it can efficiently simulate the spillover effect by using machine learning MCMC method. The results show that the Environmental Protection Index (EPI) of Shanghai Stock Exchange (SSE) and China Securities Index (CSI) have no significant volatility spillover from Shanghai Stock index, S &P index, gold price, oil future prices of USA and China. During COVID-19 pandemic, we find Green stock index is a suitable safe-haven with low volatility spillover. Green stock indexes has a strongly one-way spillover to the crude oil future price. Environmentally friendly investor can use diversity green assets to provide a low risk investment portfolio in EPI stock market. The DCGCt-MSV model using machine learning of MCMC method is accurate and outperform others in Bayes parameter estimation.",10.1007/s10878-022-00936-0,Green stock; Spillover Effect; Machine learning; Markov chain Monte Carlo; Bayesian analysis,WOS,"Employs Bayesian multivariate stochastic volatility models to analyze and predict volatility in green stock indices, demonstrating their suitability as safe-haven assets with low volatility spillover.",✔️,Green Stock Indices,✔️,✔️,y,2024-09-24T14:36:28.478841,Tord
10.48048/tis.2022.3045,A Gaussian Process Regression Model for Forecasting Stock Exchange of Thailand,"A stock price index measures the change in several share prices, which can describe the market and assist investors in deciding on a specific investment. Thus, foreseeing the stock price index benefits investors in creating a better investment strategy. However, forecasting the stock price index can be challenging due to its non-linearity, non-stationary and high uncertainty. Gaussian process regression (GPR) is an attractive and powerful approach for prediction, especially when the data fluctuates over time with fewer restrictions. Besides, the GPR gains advantages over other forecasting techniques as it can offer predictions with uncertainty to provide margin errors. In this study, we evaluate the use of GPR to predict the stock price of Thailand (SET). The SET data are divided into 2 datasets; the data in the year 2015-2020 and the data in the year 2020 due to the massive change during the COVID-19 pandemic. The prediction results from the GPR are then compared to the machine learning approaches, artificial neural network (ANN) and recurrent neural network (RNN) using evaluation scores; the root mean square error (RMSE), the mean absolute error (MAE), the mean absolute percentage error (MAPE) and the Nash-Sutcliffe efficiency (NSE). The results indicate that the GPR is superior to the ANN and RNN for both datasets as it provides a high prediction accuracy. Moreover, the results suggest that the GPR is less sensitive to the number of input lags in the model. Therefore, the GPR is more favorable for the prediction of SET than the ANN and RNN. © 2022, Walailak University. All rights reserved.",10.48048/tis.2022.3045,Artificial neural network; Gaussian process regression; Recurrent neural network; Stock price index,SCOPUS,"Applies Gaussian Process Regression to forecast the Stock Exchange of Thailand indices, comparing to ANN and RNN, finding GPR superior.",✔️,Stock Exchange of Thailand,✔️,✔️,y,2024-09-25T11:38:00.820053,Grude
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9448324,A Hybrid Approach of Bayesian Structural Time Series With LSTM to Identify the Influence of News Sentiment on Short-Term Forecasting of Stock Price,"In the financial sector, the stock market and its trends are highly volatile in nature. Recent studies have shown that news articles and social media analysis can have an immense impact on investors’ opinion toward financial markets. Thus, the purpose of this study is to explore the relationship between news sentiment and stock market movement using information from different news agencies, business magazines, and financial portals. This study offers an application of the Bayesian structural time (BST) series model that is more transparent and facilitates better handling of uncertainty than the autoregressive integrated moving average (ARIMA) model and the vector autoregression (VAR) method by using prior information about the structure of the model. One of the main pitfalls of this model is the presumption of linearity. The long short-term memory (LSTM) model is a nonlinear model that can capture various nonlinear structures present in the data set. We propose a hybrid model, which combines the LSTM model with the BST model along with the regression component that captures information from different news sources to identify market predictors. The proposed model detects unusual behavior or anomalous pattern of the stock price movement, which makes our model superior compared to the traditional methods. Our new hybrid model accumulates error with lower rates (3.5%) and shows a remarkable performance over some of the other existing hybrid models, such as AR-MLP, ARIMA-LSTM, and VAR-LSTM model.",10.1109/tcss.2021.3073964,Predictive models;Mathematical model;Data models;Market research;Stock markets;Time series analysis;Logic gates;Anomaly detection;state-space time series model;stock forecasting;text mining;unsupervised learning,IEEE,"The paper presents a hybrid Bayesian Structural Time Series and LSTM model to incorporate news sentiment data for short-term stock price forecasting, achieving lower error rates and improved performance.",✔️,Stocks,✔️,✔️,y,2024-09-25T14:27:01.998244,Tord
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9745535,A Hybrid Prediction Model Integrating GARCH Models With a Distribution Manipulation Strategy Based on LSTM Networks for Stock Market Volatility,"Accurate prediction of volatility is one of the most important tasks in financial decision making. Recently, the hybrid models integrating artificial neural networks with GARCH-type models have been developed, and performance gains from the models have been found to be outstanding. However, there have been few studies of hybrid models considering the nature of the distribution of financial data. Distribution of volatility time-series is highly concentrated near zero, and such aspect can cause low prediction performance on the whole domain of probability density function because weights in the networks can be trained to obtain accurate prediction only for the high frequency region, that is, near zero. To overcome the challenge, we propose a new hybrid model with GARCH-type models based on a novel non-linear filtering method to mitigate concentration property of volatility. For the filtering, we utilize root-type functions that transform extremely left-biased and pointed distribution of original volatility to a volume-upped (VU) distribution shifted to the right. Long short-term memory (LSTM) is employed as the basic implementation model, and the realized volatility of S&P 500 is predicted using the proposed models. It is found that the proposed hybrid model (VU-GARCH-LSTM) obtains 21.03% performance gain with respect to the root mean square error (RMSE) against the mean performances of the existing hybrid models integrating LSTM with GARCH-type models. Furthermore, the proposed model improves prediction performance in the right domain region of label probability density by making the prediction distribution comparable to the label distribution.",10.1109/access.2022.3163723,Predictive models;Data models;Stock markets;Stochastic processes;Recurrent neural networks;Stock market volatility;long short-term memory;GARCH models;distribution manipulation,IEEE,"The study develops a hybrid model integrating GARCH and LSTM networks with distribution manipulation for predicting stock market volatility, achieving significant performance improvements.",✔️,Stock market volatility,✔️,✔️,y,2024-09-25T12:33:25.499308,Tord
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10138772,A Latent Factor-Based Bayesian Neural Networks Model in Cloud Platform for Used Car Price Prediction,"The selling price of a used car can be predicted based on its historical information. Accurate and reasonable used car price evaluation will be able to promote the healthy progress of the used car industry. Current used car price prediction models are troubled by data quality and the inability to provide estimates of uncertain information, and the prediction accuracy cannot meet the needs of real-world scenarios. In this work, we propose a price prediction model based on a Bayesian neural networks with latent factor (LFBNN) in a cloud platform, which is capable of performing latent factor extraction operations on structured data of used cars as a way to remove the effect of noise in the dataset on the model performance. Moreover, the weight parameters of the Bayesian neural networks (NNs) are represented as probability distributions, which is equivalent to introducing uncertainty and acting as a regularization effect compared to a NN with fixed weights, thus making it possible to alleviate the overfitting problem. The LFBNN model uses a cloud platform for data transmission and storage, enabling it to run faster. Compared with the current benchmark models, the model proposed in this work achieves excellent experimental results on two real datasets. The experimental results on the $Car_{1}$ dataset are 1.498 for mse, 1.224 for rmse, and 0.995 for MAE, and 1.519 for mse, 1.232 for rmse, and 1.002 for MAE on the $Car_{2}$ dataset.",10.1109/tem.2023.3270301,Automobiles;Predictive models;Bayes methods;Artificial neural networks;Data models;Data mining;Mathematical models;Bayesian neural networks (NNs);latent factor;price prediction model;used car,IEEE,"Implements a Commitment Machine metaheuristic to adaptively select and combine Expected Shortfall estimation methods using machine learning, enhancing financial risk assessment.",✔️,Portfolio Expected Shortfall,✔️,✔️,y,2024-09-24T15:46:39.419325,Tord
WOS:001140460100001,A Novel Deterministic Probabilistic Forecasting Framework for Gold Price with a New Pandemic Index Based on Quantile Regression Deep Learning and Multi-Objective Optimization,"The significance of precise gold price forecasting is accentuated by its financial attributes, mirroring global economic conditions, market uncertainties, and investor risk aversion. However, predicting the gold price is challenging due to its inherent volatility, influenced by multiple factors, such as COVID-19, financial crises, geopolitical issues, and fluctuations in other metals and energy prices. These complexities often lead to non-stationary time series, rendering traditional time series modeling methods inadequate. Our paper presents a multi-objective optimization algorithm that refines the interval prediction framework with quantile regression deep learning in response to this issue. This framework comprehensively responds to gold's financial market dynamics and uncertainties with a screening process of various factors, including pandemic-related indices, geopolitical indices, the US dollar index, and prices of various commodities. The quantile regression deep-learning models optimized by multi-objective optimization algorithms deliver robust, interpretable, and highly accurate predictions for handling non-linear relationships and complex data structures and enhance the overall predictive performance. The results demonstrate that the QRBiLSTM model, optimized using the MOALO algorithm, delivers excellent forecasting performance. The composite indicator AIS reaches -15.6240 and -11.5581 at 90% and 95% confidence levels, respectively. This underscores the model's high forecasting accuracy and its potential to provide valuable insights for assessing future trends in gold prices. The deterministic and probabilistic forecasting framework for gold prices captures the market dynamics with the new pandemic index and comprehensively sets a new benchmark for predictive modeling in volatile market commodities like gold.",10.3390/math12010029,gold price forecasting; quantile regression; probabilistic prediction models; feature screening; multi-objective optimization algorithms,WOS,"Proposes a manifold learning-based framework with regression models to forecast high-dimensional time series, applied to foreign exchange rates.",✔️,Foreign Exchange Rates,✔️,❌,y,2024-09-25T14:03:32.725682,Tord
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5356151,A Stochastic HMM-Based Forecasting Model for Fuzzy Time Series,"Recently, fuzzy time series have attracted more academic attention than traditional time series due to their capability of dealing with the uncertainty and vagueness inherent in the data collected. The formulation of fuzzy relations is one of the key issues affecting forecasting results. Most of the present works adopt IF-THEN rules for relationship representation, which leads to higher computational overhead and rule redundancy. Sullivan and Woodall proposed a Markov-based formulation and a forecasting model to reduce computational overhead; however, its applicability is limited to handling one-factor problems. In this paper, we propose a novel forecasting model based on the hidden Markov model by enhancing Sullivan and Woodall's work to allow handling of two-factor forecasting problems. Moreover, in order to make the nature of conjecture and randomness of forecasting more realistic, the Monte Carlo method is adopted to estimate the outcome. To test the effectiveness of the resulting stochastic model, we conduct two experiments and compare the results with those from other models. The first experiment consists of forecasting the daily average temperature and cloud density in Taipei, Taiwan, and the second experiment is based on the Taiwan Weighted Stock Index by forecasting the exchange rate of the New Taiwan dollar against the U.S. dollar. In addition to improving forecasting accuracy, the proposed model adheres to the central limit theorem, and thus, the result statistically approximates to the real mean of the target value being forecast.",10.1109/tsmcb.2009.2036860,Stochastic processes;Hidden Markov models;Predictive models;Fuzzy sets;Fuzzy logic;Uncertainty;Atmospheric measurements;Pollution measurement;Time measurement;Information management;Forecasting;fuzzy time series;hidden Markov model (HMM);Monte Carlo method,IEEE,"The paper develops a stochastic hidden Markov model-based forecasting method for fuzzy time series, applying it to weather and exchange rate data, improving forecasting accuracy.",✔️,New Taiwan dollar/USD exchange rate,❌,✔️,y,2024-09-25T14:15:31.344451,Sivert
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9584890,A Two-Factor Fuzzy-Fluctuation Time Series Forecasting Model for Stock Markets Based on a Probabilistic Linguistic Preference Relationship and Similarity Measure,"An increasing number of scholars have tried to incorporate external factors affecting the disturbance of a time series into their forecasting models. However, these studies only verify the linkage relationship of two or more time series by empirical tests without providing any theoretical explanation. This makes it difficult to choose a linkage time series without using many tests. In this paper, a novel two-factor fuzzy-fluctuation time series (FFTS) forecasting model is proposed based on the probabilistic linguistic preference relationship (PLPR) and similarity measure. It not only proposes the idea of combining external factors with internal potential trends but also explains the linkage mechanism of time series fluctuations from the perspective of behavioral preference. Specifically, the probabilistic linguistic preference logical relationship (PLPLR) is employed to express the fluctuation behavior rule and preference attribute from the history testing dataset. The Euclidean distance or Hamming distance between the “current state” and the left side of training PLPLRs is introduced as a similarity comparison method for the identification of appropriate rules. The proposed model is tested using a traditional time series (e.g., the enrollment of the University of Alabama) to compare its performance with existing models. The model is also employed to forecast realistic stock markets, such as the Taiwan Stock Exchange Capitalization Weighted Stock Index (TAIEX) and Hang Seng Index (HSI). The performance comparison illustrates the effectiveness and universality of the model.",10.1109/access.2021.3122142,Time series analysis;Forecasting;Linguistics;Fluctuations;Predictive models;Probabilistic logic;Stock markets;Fuzzy-fluctuation time series;forecasting;probabilistic linguistic preference relationship;similarity measurement,IEEE,"Proposes a hybrid model combining GARCH-type models with LSTM networks, using non-linear filtering to adjust volatility distributions, enhancing prediction accuracy for S&P 500 volatility.",✔️,Stock Market Volatility (S&P 500),✔️,✔️,y,2024-09-25T11:08:34.958881,Tord
10.1108/PRR-04-2017-0023,A big data Bayesian approach to earnings profitability in the S&P 500,"Purpose: The impact of volatility crush can be devastating to an option buyer and results in a substantial capital loss, even with a directionally correct strategy. As a result, most volatility plays are for option sellers, but the profit they can achieve is limited and the sellers carry unlimited risk. This paper aims to demonstrate the dynamics of implied volatility (IV) as being influenced by effects of persistence, leverage, market sentiment and liquidity. From the exploratory factor analysis (EFA), they extract four constructs and the results from the confirmatory factor analysis (CFA) indicated a good model fit for the constructs. Design/methodology/approach: This section describes the methodology used for conducting the study. This includes the study area, study approach, sources of data, sampling technique and the method of data analysis. Findings: Although there is extensive literature on methods for estimating IV dynamics during earnings announcement, few researchers have looked at the impact of expected market maker move, IV differential and IV Rank on the IV path after the earnings announcement. One reason for this research gap is because of the recent introduction of weekly options for equities by the Chicago Board of Options Exchange (CBOE) back in late 2010. Even then, the CBOE only released weekly options four individual equities – Bank of America (BAC.N), Apple (AAPL.O), Citigroup (C.N) and US-listed shares of BP (BP.L) (BP.N). The introduction of weekly options provided more trading flexibility and precision timing from shorter durations. This automatically expanded expiration choices, which in turned offered greater access and flexibility from the perspective of trading volatility during earnings announcement. This study has demonstrated the impact of including market sentiment and liquidity into the forecasting model for IV during earnings. This understanding in turn helps traders to formulate strategies that can circumvent the undefined risk associated with trading options strategies such as writing strangles. Research limitations/implications: The first limitation of the study is that the firms included in the study are relatively large, and the results of the study can therefore not be generalized to medium sized and small firms. The second limitation lies in the current sample size, which in many cases was not enough to be able to draw reliable conclusions on. Scaling the sample size up is only a function of time and effort. This is easily overcome and should not be a limitation in the future. The third limitation concerns the measurement of the variables. Under the assumption of a normal distribution of returns (i.e. stock prices follow a random walk process), which means that the distribution of returns is symmetrical, one can estimate the probabilities of potential gains or losses associated with each amount. This means the standard deviation of securities returns, which is called historical volatility and is usually calculated as a moving average, can be used as a risk indicator. The prices used for the calculations are usually the closing prices, but Parkinson (1980) suggests that the day’s high and low prices would provide a better estimate of real volatility. One can also refine the analysis with high-frequency data. Such data enable the avoidance of the bias stemming from the use of closing (or opening) prices, but they have only been available for a relatively short time. The length of the observation period is another topic that is still under debate. There are no criteria that enable one to conclude that volatility calculated in relation to mean returns over 20 trading days (or one month) and then annualized is any more or less representative than volatility calculated over 130 trading days (or six months) and then annualized, or even than volatility measured directly over 260 trading days (one year). Nonetheless, the guidelines adopted in this study represent the best practices of researchers thus far. Practical implications: This study has indicated that an earnings announcement can provide a volatility mispricing opportunity to allow an investor to profit from a sudden, sharp drop in IV. More specifically, the methodology developed by Tan and Bing is now well supported both empirically and theoretically in terms of qualifying opportunities that can be profitable because of the volatility crush. Conventionally, the option strategy of shorting strangles carries unlimited theoretical risk; however, the methodology has demonstrated that this risk can be substantially reduced if followed judiciously. This profitable strategy relies on a set of qualifying parameters including liquidity, premium collection, volatility differential, expected market move and market sentiment. Building upon this framework, the understanding of the effects of persistence and leverage resulted in further reducing the risk associated with trading options during earnings announcements. As a guideline, the sentiment and liquidity variables help to qualify a trade and the effects of persistence and leverage help to close the qualified trade. Social implications: The authors find a positive association between the effects of market sentiment, liquidity, persistence and leverage in the dynamics of IV during earnings announcement. These findings substantiate further the four factors that influence IV dynamics during earnings announcement and conclude that just looking at persistence and leverage alone will not generate profitable trading opportunities. Originality/value: The impact of volatility crush can be devastating to the option buyer with substantial capital loss, even for a directionally correct strategy. As a result, most volatility plays are for option sellers; however, the profit is limited and the sellers carry unlimited risk. The authors demonstrate the dynamics of IV as being influenced by effects of persistence, leverage, market sentiment and liquidity. From the EFA, they extracted four constructs and the results from the CFA indicated a good model fit for the constructs. Using EFA, CFA and Bayesian analysis, how this model can help investors formulate the right strategy to achieve the best risk/reward mix is demonstrated. Using Bayesian estimation and IV differential to proxy for differences of opinion about term structures in option pricing, the authors find a positive association among the effects of market sentiment, liquidity, persistence and leverage in the dynamics of IV during earnings announcement. © 2018, Teik-Kheong Tan and Merouane Lakehal-Ayat.",10.1108/prr-04-2017-0023,Bayesian; Data analytics; Factor analysis; Implied volatility; Machine learning; Structured equation modeling,SCOPUS,"The study utilizes a Bayesian approach to model implied volatility dynamics during earnings announcements in the S&P 500, helping investors strategize to manage volatility risks.",✔️,S&P 500 Options,❌,✔️,y,2024-09-25T14:08:35.866439,Sivert
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=935099,A comparison of nonlinear methods for predicting earnings surprises and returns,"We compare four nonlinear methods on their ability to learn models from data. The problem requires predicting whether a company will deliver an earnings surprise a specific number of days prior to announcement. This problem has been well studied in the literature using linear models. A basic question is whether machine learning-based nonlinear models such as tree induction algorithms, neural networks, naive Bayesian learning, and genetic algorithms perform better in terms of predictive accuracy and in uncovering interesting relationships among problem variables. Equally importantly, if these alternative approaches perform better, why? And how do they stack up relative to each other? The answers to these questions are significant for predictive modeling in the financial arena, and in general for problem domains characterized by significant nonlinearities. In this paper, we compare the four above-mentioned nonlinear methods along a number of criteria. The genetic algorithm turns out to have some advantages in finding multiple ""small disjunct"" patterns that can be accurate and collectively capable of making predictions more often than its competitors. We use some of the nonlinearities we discovered about the problem domain to explain these results.",10.1109/72.935099,,IEEE,"Compares nonlinear machine learning methods for predicting earnings surprises and returns, finding genetic algorithms effective in capturing predictive patterns.",✔️,Financial Returns (Stocks),✔️,❌,y,2024-09-25T12:02:04.943596,Tord
